,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,351.18,351.18,331.71,331.71
1,Cost of Revenue,80.9,80.9,66.93,66.93
2,Gross Profit,270.28,270.28,264.78,264.78
3,"Selling, General & Admin",187.65,187.65,176.64,176.64
4,Research & Development,18.64,18.64,32.63,32.63
5,Other Operating Expenses,1.75,1.75,0.34,0.34
6,Operating Expenses,208.05,208.05,209.61,209.61
7,Operating Income,62.23,62.23,55.18,55.18
8,Interest Expense,-1.89,-1.89,-2.39,-2.39
9,Other Non Operating Income (Expenses),4.58,4.58,0.9,0.9
10,Pretax Income,64.92,64.92,53.69,53.69
11,Income Tax Expense,12.24,12.24,5.51,5.51
12,Net Income,52.67,52.67,48.18,48.18
13,Net Income to Common,52.67,52.67,48.18,48.18
14,Shares Outstanding (Basic),200,200,200,200
15,Shares Outstanding (Diluted),200,200,200,200
16,EPS (Basic),0.26,0.26,0.24,0.24
17,EPS (Diluted),0.26,0.26,0.24,0.24
18,Free Cash Flow,-10.18,-10.18,-11.19,-11.19
19,Free Cash Flow Per Share,-0.05,-0.05,-0.06,-0.06
20,Gross Margin,76.96%,76.96%,79.82%,79.82%
21,Operating Margin,17.72%,17.72%,16.63%,16.63%
22,Profit Margin,15.00%,15.00%,14.52%,14.52%
23,Free Cash Flow Margin,-2.90%,-2.90%,-3.37%,-3.37%
24,EBITDA,71.12,71.12,63.79,63.79
25,EBITDA Margin,20.25%,20.25%,19.23%,19.23%
26,D&A For EBITDA,8.89,8.89,8.61,8.61
27,EBIT,62.23,62.23,55.18,55.18
28,EBIT Margin,17.72%,17.72%,16.63%,16.63%
29,Effective Tax Rate,18.86%,18.86%,10.27%,10.27%
