,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,78.77,78.77,-,-
1,Short-Term Investments,39.34,39.34,-,-
2,Cash & Short-Term Investments,118.11,118.11,-,115.98
3,Accounts Receivable,642.73,642.73,-,-
4,Other Receivables,10.43,10.43,-,-
5,Receivables,653.15,653.15,-,-
6,Inventory,158.01,158.01,-,-
7,Other Current Assets,24.78,24.78,-,-
8,Total Current Assets,954.06,954.06,-,-
9,"Property, Plant & Equipment",363.96,363.96,-,-
10,Other Intangible Assets,0.9,0.9,-,-
11,Long-Term Deferred Charges,115.08,115.08,-,-
12,Other Long-Term Assets,2.68,2.68,-,-
13,Total Assets,1437.0,1437.0,-,-
14,Accounts Payable,33.13,33.13,-,-
15,Accrued Expenses,46.38,46.38,-,-
16,Current Portion of Long-Term Debt,174.68,174.68,-,-
17,Current Portion of Leases,1.28,1.28,-,-
18,Current Income Taxes Payable,14.41,14.41,-,-
19,Current Unearned Revenue,15.0,15.0,-,-
20,Other Current Liabilities,88.66,88.66,-,-
21,Total Current Liabilities,373.53,373.53,-,-
22,Long-Term Debt,31.65,31.65,-,-
23,Long-Term Leases,0.47,0.47,-,-
24,Long-Term Unearned Revenue,6.88,6.88,-,-
25,Long-Term Deferred Tax Liabilities,17.88,17.88,-,-
26,Total Liabilities,430.41,430.41,-,-
27,Common Stock,200.0,200.0,-,-
28,Additional Paid-In Capital,681.43,681.43,-,-
29,Retained Earnings,117.51,117.51,-,-
30,Comprehensive Income & Other,7.34,7.34,-,-
31,Shareholders' Equity,1006.0,1006.0,-,766.18
32,Total Liabilities & Equity,1437.0,1437.0,-,-
33,Total Debt,208.08,208.08,-,220.58
34,Net Cash (Debt),-89.97,-89.97,-,-104.6
35,Net Cash Per Share,-0.45,-0.45,-,-0.52
36,Filing Date Shares Outstanding,200.0,200.0,200,200
37,Total Common Shares Outstanding,200.0,200.0,200,200
38,Working Capital,580.53,580.53,-,-
39,Book Value Per Share,5.03,5.03,-,3.83
40,Tangible Book Value,1005.0,1005.0,-,765.99
41,Tangible Book Value Per Share,5.03,5.03,-,3.83
42,Buildings,276.07,276.07,-,-
43,Machinery,314.34,314.34,-,-
44,Construction In Progress,0.18,0.18,-,-
