Stock Symbol,Date,Stock Price
603363,2024-09-30,3.55
603363,2024-06-30,3.72
603363,2024-03-31,5.7
603363,2023-12-31,6.07
603363,2023-09-30,8.16
603363,2023-06-30,9.17
603363,2023-03-31,12.56
603363,2022-12-31,12.89
603363,2022-09-30,15.92
603363,2022-06-30,18.51
603363,2022-03-31,23.8
603363,2021-12-31,12.7
603363,2021-09-30,8.49
603363,2021-06-30,10.3
603363,2021-03-31,13.6745
603363,2020-12-31,12.2153
603363,2020-09-30,14.4034
603363,2020-06-30,17.6326
603363,2020-03-31,16.2519
603363,2019-12-31,11.9512
