,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,57,197,189,329,288,264,815,1318,1145,1071,1392,Upgrade
1,Market Cap Growth,-40.16%,-40.16%,-34.29%,25.00%,-64.65%,-80.00%,-28.78%,23.08%,-17.75%,-10.25%,-6.07%,Upgrade
2,Enterprise Value,426,588,474,565,500,360,975,1365,1062,961,1614,Upgrade
3,Last Close Price,0.58,2.00,2.30,4.00,3.50,3.20,9.90,16.00,13.90,13.00,16.90,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,10.13,14.18,Upgrade
5,PS Ratio,0.85,3.20,2.36,4.89,4.78,1.12,4.09,-328.69,23.97,3.41,4.30,Upgrade
6,PB Ratio,-0.54,-0.54,-0.50,-0.92,-0.87,-1.07,-4.31,9.68,6.48,3.40,4.50,Upgrade
7,P/TBV Ratio,-,-,-,-,-,-,-,9.60,5.65,2.96,3.91,Upgrade
8,P/FCF Ratio,4.18,14.42,-20.84,-,-4.39,-,6.58,-,-,3.31,-6.92,Upgrade
9,P/OCF Ratio,14.42,14.42,-20.87,-,-4.39,-,6.54,-,-,3.30,-6.96,Upgrade
10,EV/Sales Ratio,6.91,9.53,5.90,8.39,8.30,1.53,4.89,-340.40,-,3.06,4.98,Upgrade
11,EV/EBITDA Ratio,-,-72.25,-,-,-,-,-,-,-,4.81,8.72,Upgrade
12,EV/EBIT Ratio,-,-68.49,-,-,-,-,-,-,-,4.84,8.78,Upgrade
13,EV/FCF Ratio,31.19,43.00,-52.11,-,-7.62,-,7.87,-,-,2.97,-8.02,Upgrade
14,Debt / Equity Ratio,-1.16,-1.16,-1.17,-1.04,-1.42,-1.58,-2.09,4.11,2.93,1.44,1.79,Upgrade
15,Debt / FCF Ratio,30.96,30.96,-48.77,-,-7.18,-,3.19,-,-,1.40,-2.75,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,44.39%,39.33%,Upgrade
17,Earnings Yield,-55.52%,-16.10%,-24.14%,-32.77%,-47.14%,-155.57%,-48.97%,-16.45%,-14.18%,9.87%,7.05%,Upgrade
18,FCF Yield,23.92%,6.94%,-4.80%,-2.43%,-22.77%,52.05%,15.19%,-17.90%,-0.09%,30.21%,-14.45%,Upgrade
19,Buyback Yield / Dilution,-9.84%,-19.67%,-,-,-,-,-,-,-4.75%,-20.61%,-16.72%,Upgrade
20,Total Shareholder Return,-9.84%,-19.67%,-,-,-,-,-,-,-4.75%,-20.61%,-16.72%,Upgrade
