,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+1 Quarters
0,Market Capitalization,36,26,114,107,149,132,102,139,254,302,566,Upgrade
1,Market Cap Growth,-75.86%,-75.86%,-23.60%,-19.01%,46.36%,-5.33%,-59.86%,-53.95%,-55.08%,-55.63%,-30.59%,Upgrade
2,Enterprise Value,91,47,126,116,140,173,109,149,247,241,413,Upgrade
3,Last Close Price,0.32,0.23,1.23,1.15,1.61,1.42,1.10,1.50,2.65,3.15,5.90,Upgrade
4,PE Ratio,-,-,-,-3.67,-,-9.50,-,-28.22,-,-,-,Upgrade
5,PS Ratio,0.11,0.08,0.40,0.37,0.47,0.45,0.39,0.45,0.87,1.09,2.22,Upgrade
6,PB Ratio,0.39,0.28,1.26,0.79,1.27,0.77,0.59,0.76,1.41,1.65,2.72,Upgrade
7,P/TBV Ratio,0.28,0.28,1.27,0.79,1.28,0.77,0.60,0.76,1.41,1.65,2.73,Upgrade
8,P/FCF Ratio,-,-,2.82,10.95,6.69,12.23,-,10.71,-15.43,-,-,Upgrade
9,P/OCF Ratio,5.50,-,2.70,9.45,6.14,8.84,-,8.34,-21.38,-,-,Upgrade
10,EV/Sales Ratio,0.29,0.15,0.44,0.40,0.44,0.59,0.41,0.48,0.84,0.87,1.62,Upgrade
11,EV/EBITDA Ratio,-,-,-,15.88,-,-18.21,-,7.34,21.45,-24.55,-,Upgrade
12,EV/EBIT Ratio,-,-,-,23.56,-,-14.24,-,10.56,53.57,-,-,Upgrade
13,EV/FCF Ratio,-23.48,-,3.10,11.85,6.27,16.09,-,11.44,-14.98,-,-,Upgrade
14,Debt / Equity Ratio,2.10,2.10,1.98,1.40,1.61,1.40,1.43,1.31,1.31,1.29,1.06,Upgrade
15,Debt / FCF Ratio,-,-,4.44,19.41,8.46,22.19,-,18.58,-14.32,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,3.55%,-,-7.04%,-,7.51%,2.49%,-,-,Upgrade
17,Earnings Yield,-138.25%,-192.34%,-18.06%,-27.25%,-31.44%,-10.53%,-12.49%,-3.54%,-4.81%,-15.60%,-10.66%,Upgrade
18,FCF Yield,-10.77%,-14.99%,35.52%,9.13%,14.94%,8.18%,1.14%,9.34%,-6.48%,-26.51%,-17.51%,Upgrade
19,Buyback Yield / Dilution,-11.20%,-22.39%,-,-0.00%,-,-,0.02%,2.20%,3.27%,1.12%,-,Upgrade
20,Total Shareholder Return,-11.20%,-22.39%,-,-0.00%,-,-,0.02%,2.20%,3.27%,1.12%,-,Upgrade
