Stock Symbol,Date,Stock Price
300771,2024-09-30,10.72
300771,2024-06-30,8.79
300771,2024-03-31,9.92
300771,2023-12-31,10.75
300771,2023-09-30,10.94
300771,2023-06-30,10.76
300771,2023-03-31,13.7
300771,2022-12-31,12.82
300771,2022-09-30,12.78
300771,2022-06-30,12.88
300771,2022-03-31,12.13
300771,2021-12-31,12.19
300771,2021-09-30,10.79
300771,2021-06-30,15.2
300771,2021-03-31,17.86
300771,2020-12-31,17.46
300771,2020-09-30,21.92
300771,2020-06-30,23.28
300771,2020-03-31,22.02
300771,2019-12-31,24.36
