,Fiscal Quarter,H1 2024,H1 2023,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,169.36,-,77.92
1,Short-Term Investments,12.51,-,-
2,Cash & Short-Term Investments,181.87,-,77.92
3,Cash Growth,133.40%,-,-
4,Accounts Receivable,428.45,-,220.54
5,Other Receivables,69.54,-,18.82
6,Receivables,497.99,-,239.36
7,Inventory,133.21,-,52.66
8,Restricted Cash,55.23,-,-
9,Other Current Assets,22.66,-,70.5
10,Total Current Assets,890.96,-,440.44
11,"Property, Plant & Equipment",2484,-,1347
12,Long-Term Investments,11.34,-,18.27
13,Other Intangible Assets,20.48,-,40.63
14,Long-Term Deferred Tax Assets,5.44,-,4.85
15,Long-Term Deferred Charges,-,-,4.01
16,Other Long-Term Assets,131.58,-,66.06
17,Total Assets,3544,-,1921
18,Accounts Payable,370.72,-,149.95
19,Accrued Expenses,23.45,-,11.4
20,Current Portion of Long-Term Debt,283.69,-,21.88
21,Current Portion of Leases,509.13,-,-
22,Current Income Taxes Payable,0.96,-,3.3
23,Current Unearned Revenue,16.56,-,7.85
24,Other Current Liabilities,128.58,-,399.83
25,Total Current Liabilities,1333,-,594.21
26,Long-Term Debt,471.68,-,95.23
27,Long-Term Leases,595.07,-,536.73
28,Long-Term Deferred Tax Liabilities,0.55,-,-
29,Other Long-Term Liabilities,24.3,-,34.84
30,Total Liabilities,2425,-,1261
31,Common Stock,87.01,-,80.48
32,Additional Paid-In Capital,688.35,-,423.95
33,Retained Earnings,343.09,-,155.85
34,Comprehensive Income & Other,0.54,-,-
35,Shareholders' Equity,1119,-,660.29
36,Total Liabilities & Equity,3544,-,1921
37,Total Debt,1860,-,653.84
38,Net Cash (Debt),-1678,-,-575.92
39,Net Cash Per Share,-4.82,-,-1.79
40,Filing Date Shares Outstanding,348.02,335.89,321.94
41,Total Common Shares Outstanding,348.02,335.89,321.94
42,Working Capital,-442.13,-,-153.77
43,Book Value Per Share,3.22,-,2.05
44,Tangible Book Value,1099,-,619.66
45,Tangible Book Value Per Share,3.16,-,1.92
46,Machinery,-,-,618.71
47,Construction In Progress,-,-,73.48
