Stock Symbol,Date,Stock Price
000863,2024-09-30,3.97
000863,2024-06-30,4.0
000863,2024-03-31,3.25
000863,2023-12-31,3.95
000863,2023-09-30,3.57
000863,2023-06-30,3.61
000863,2023-03-31,4.14
000863,2022-12-31,4.26
000863,2022-09-30,3.7
000863,2022-06-30,3.52
000863,2022-03-31,4.8708
000863,2021-12-31,3.4183
000863,2021-09-30,3.0309
000863,2021-06-30,3.1859
000863,2021-03-31,3.6202
000863,2020-12-31,3.9884
000863,2020-09-30,3.3397
000863,2020-06-30,3.3911
000863,2020-03-31,3.5203
000863,2019-12-31,3.7464
