,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,411,513,1221,1124,440,267,353,512,490,392,474,Upgrade
1,Market Cap Growth,16.77%,-54.33%,177.80%,321.51%,24.49%,-47.89%,-27.94%,30.50%,3.44%,-55.28%,-55.61%,Upgrade
2,Enterprise Value,900,793,1697,1903,1291,1355,1366,1596,1257,1150,1039,Upgrade
3,Last Close Price,0.38,0.47,1.13,1.04,0.61,0.37,0.49,0.71,0.68,0.72,0.87,Upgrade
4,PE Ratio,7.60,24.58,-,61.00,-,3.38,27.67,25.20,-140.52,-,-,Upgrade
5,PS Ratio,2.57,6.97,-,7.20,-,0.50,0.68,3.04,3.16,6.21,-,Upgrade
6,PB Ratio,0.39,0.36,0.90,0.88,0.37,0.24,0.28,0.42,0.34,0.32,0.46,Upgrade
7,P/TBV Ratio,0.48,0.48,1.20,1.15,0.51,0.32,0.39,0.57,0.52,0.55,0.60,Upgrade
8,P/FCF Ratio,1.79,11.83,-,7.11,-,-7.76,-,-5.41,-,-,-,Upgrade
9,P/OCF Ratio,1.94,6.62,-,7.08,-,-7.91,-,-5.41,-,-,-,Upgrade
10,EV/Sales Ratio,5.63,10.77,-,12.19,-,2.56,2.62,9.49,8.10,18.22,-,Upgrade
11,EV/EBITDA Ratio,7.12,15.64,-,33.07,-,11.08,12.20,11.78,10.02,25.46,-,Upgrade
12,EV/EBIT Ratio,7.37,15.92,-,33.53,-,11.15,12.35,14.12,12.21,26.01,-,Upgrade
13,EV/FCF Ratio,3.92,18.28,-,12.04,-,-39.42,-,-16.89,-,-,-,Upgrade
14,Debt / Equity Ratio,0.35,0.35,0.40,0.42,0.49,0.58,0.68,0.65,0.32,0.46,0.72,Upgrade
15,Debt / FCF Ratio,2.18,11.54,-,3.44,-,-18.76,-,-8.35,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),5.37%,2.33%,-,3.06%,-,7.26%,5.98%,5.61%,5.25%,2.71%,-,Upgrade
17,Earnings Yield,13.26%,4.07%,-,1.64%,-,29.54%,3.61%,3.97%,-0.71%,-3.29%,-,Upgrade
18,FCF Yield,55.95%,8.45%,-,14.07%,-,-12.89%,-29.85%,-18.48%,-23.27%,-0.32%,-,Upgrade
19,Buyback Yield / Dilution,-46.76%,-37.91%,-,-8.74%,-,-,-0.00%,-0.00%,-,-31.40%,-,Upgrade
20,Total Shareholder Return,-46.76%,-37.91%,-,-8.74%,-,-,-0.00%,-0.00%,-,-31.40%,-,Upgrade
