,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,1452,1302,1424,1250,1407,1485,1602,1484,1560,1036,1024,Upgrade
1,Market Cap Growth,4.16%,4.16%,1.26%,-15.79%,-12.17%,0.03%,2.66%,43.28%,52.38%,-20.56%,-20.00%,Upgrade
2,Enterprise Value,-251,-766,-588,36,-116,8,-364,-160,147,-164,-153,Upgrade
3,Last Close Price,1.07,0.96,0.95,0.87,0.89,0.86,0.93,0.86,0.81,0.54,0.48,Upgrade
4,PE Ratio,-,-,-,3.93,-,-,-,-,1.15,1.48,-,Upgrade
5,Forward PE,-,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,Upgrade
6,PS Ratio,3.67,3.30,1.20,0.99,3.26,3.96,4.59,4.35,2.76,2.41,2.35,Upgrade
7,PB Ratio,0.44,0.40,0.37,0.31,0.39,0.38,0.40,0.34,0.32,0.22,0.30,Upgrade
8,P/TBV Ratio,0.40,0.40,0.37,0.31,0.40,0.39,0.40,0.34,0.32,0.22,0.30,Upgrade
9,P/FCF Ratio,-,-,-,3.36,14.83,-,27.60,-,-,256.90,-,Upgrade
10,P/OCF Ratio,-,-,-,3.34,14.54,-,27.12,-,-,252.94,-,Upgrade
11,EV/Sales Ratio,-,-,-,0.03,-,0.02,-,-,0.26,-,-,Upgrade
12,EV/EBITDA Ratio,-,-,-,12.47,-,-,-,-,-,-,-,Upgrade
13,EV/EBIT Ratio,-,-,-,18.58,-,-,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,-,-,-,0.10,-,-,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,0.18,0.18,0.07,0.02,0.05,0.06,0.07,0.03,0.00,0.00,0.00,Upgrade
16,Debt / FCF Ratio,-,-,-,0.24,1.98,-,5.04,-,-,0.68,-,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,0.05%,-,-,0.47%,-0.30%,-,0.37%,-,Upgrade
18,Earnings Yield,-35.35%,-39.40%,27.38%,25.44%,-22.65%,-15.77%,-29.10%,-6.43%,87.00%,67.67%,-41.94%,Upgrade
19,FCF Yield,-,-23.72%,29.72%,6.74%,3.24%,3.62%,-11.16%,-3.60%,0.39%,-8.53%,Upgrade,
20,Buyback Yield / Dilution,-3.98%,-4.16%,-3.79%,-0.00%,-0.10%,-6.69%,-6.76%,-0.16%,-,-,-22.90%,Upgrade
21,Total Shareholder Return,5.37%,-4.16%,-3.79%,-0.00%,-0.10%,-6.69%,-6.76%,-0.16%,-,-,-22.90%,Upgrade
