,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,33.63,33.63,-,-
1,Trading Asset Securities,8.09,8.09,-,-
2,Cash & Short-Term Investments,41.72,41.72,-,19.24
3,Accounts Receivable,29.21,29.21,-,-
4,Other Receivables,2.84,2.84,-,-
5,Receivables,32.05,32.05,-,-
6,Inventory,63.62,63.62,-,-
7,Prepaid Expenses,6.96,6.96,-,-
8,Other Current Assets,3.97,3.97,-,-
9,Total Current Assets,148.31,148.31,-,-
10,"Property, Plant & Equipment",63.63,63.63,-,-
11,Long-Term Deferred Tax Assets,1.14,1.14,-,-
12,Other Long-Term Assets,4.31,4.31,-,-
13,Total Assets,217.4,217.4,-,-
14,Accounts Payable,31.49,31.49,-,-
15,Accrued Expenses,12.6,12.6,-,-
16,Short-Term Debt,54.21,54.21,-,-
17,Current Portion of Leases,7.0,7.0,-,-
18,Current Income Taxes Payable,5.1,5.1,-,-
19,Current Unearned Revenue,0.14,0.14,-,-
20,Other Current Liabilities,8.37,8.37,-,-
21,Total Current Liabilities,118.91,118.91,-,-
22,Long-Term Leases,12.26,12.26,-,-
23,Long-Term Deferred Tax Liabilities,0.14,0.14,-,-
24,Total Liabilities,131.31,131.31,-,-
25,Common Stock,0.51,0.51,-,-
26,Additional Paid-In Capital,54.5,54.5,-,-
27,Retained Earnings,15.81,15.81,-,-
28,Comprehensive Income & Other,15.28,15.28,-,-
29,Shareholders' Equity,86.1,86.1,-,55.79
30,Total Liabilities & Equity,217.4,217.4,-,-
31,Total Debt,73.46,73.46,-,85.69
32,Net Cash (Debt),-31.74,-31.74,-,-66.46
33,Net Cash Per Share,-0.08,-0.08,-,-0.18
34,Filing Date Shares Outstanding,512.5,512.5,375,375
35,Total Common Shares Outstanding,512.5,512.5,375,375
36,Working Capital,29.4,29.4,-,-
37,Book Value Per Share,0.17,0.17,-,0.15
38,Tangible Book Value,86.1,86.1,-,55.79
39,Tangible Book Value Per Share,0.17,0.17,-,0.15
