,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,78,93,180,199,239,320,522,1216,380,423,984,Upgrade
1,Market Cap Growth,-53.13%,-53.13%,-24.68%,-37.86%,-54.17%,-73.67%,37.54%,187.27%,-61.41%,-66.40%,-5.44%,Upgrade
2,Enterprise Value,201,227,311,350,256,404,631,1332,508,551,1266,Upgrade
3,Last Close Price,0.03,0.03,0.06,0.06,0.08,0.10,0.17,0.40,0.15,0.17,0.39,Upgrade
4,PE Ratio,-,-,-,18.34,-,17.09,-,-,-,-,-,Upgrade
5,Forward PE,-,22.94,22.94,22.94,22.94,22.94,22.94,22.94,22.94,22.94,22.94,Upgrade
6,PS Ratio,0.37,0.44,0.77,1.55,-,2.85,-,13.35,-,3.61,-,Upgrade
7,PB Ratio,0.46,0.56,1.05,1.15,1.67,2.64,5.09,14.73,19.94,5.87,7.41,Upgrade
8,P/TBV Ratio,0.63,0.63,1.15,1.17,1.73,2.64,5.07,14.74,29.95,8.65,9.56,Upgrade
9,P/FCF Ratio,4.28,5.13,5.33,6.15,-,37.57,-,123.62,-,26.79,-,Upgrade
10,P/OCF Ratio,4.80,4.80,4.65,5.49,-,36.47,-,123.55,-,26.64,-,Upgrade
11,EV/Sales Ratio,0.95,1.08,1.32,2.73,-,3.60,-,14.63,-,4.70,-,Upgrade
12,EV/EBITDA Ratio,9.45,10.96,9.06,14.72,-,12.16,-,105.19,-,35.82,-,Upgrade
13,EV/EBIT Ratio,15.48,13.72,10.31,16.57,-,12.91,-,140.10,-,51.98,-,Upgrade
14,EV/FCF Ratio,11.05,12.51,9.21,10.81,-,47.41,-,135.44,-,34.88,-,Upgrade
15,Debt / Equity Ratio,0.85,0.85,0.86,0.89,1.16,0.74,1.18,1.73,8.14,2.22,1.47,Upgrade
16,Debt / FCF Ratio,7.87,7.87,4.38,4.79,-,10.49,-,14.49,-,10.12,-,Upgrade
17,Return on Capital Employed (ROCE),7.43%,9.50%,16.88%,11.59%,-,25.83%,-,5.17%,-,7.65%,-,Upgrade
18,Earnings Yield,-18.71%,-15.59%,0.32%,5.45%,-,5.85%,-,-4.76%,-,-15.87%,-,Upgrade
19,FCF Yield,23.38%,19.49%,18.75%,16.26%,-,2.66%,-,0.81%,-,3.73%,-,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-17.20%,-,-3.47%,-,-15.50%,-,Upgrade,
21,Total Shareholder Return,-,-,-,-,-17.20%,-,-3.47%,-,-15.50%,-,Upgrade,
