Stock Symbol,Date,Stock Price
300488,2024-09-30,22.3
300488,2024-06-30,20.04
300488,2024-03-31,22.03
300488,2023-12-31,23.98
300488,2023-09-30,25.67
300488,2023-06-30,24.71
300488,2023-03-31,22.39
300488,2022-12-31,21.37
300488,2022-09-30,19.23
300488,2022-06-30,24.21
300488,2022-03-31,24.9
300488,2021-12-31,27.29
300488,2021-09-30,38.04
300488,2021-06-30,16.42
300488,2021-03-31,14.2
300488,2020-12-31,15.74
300488,2020-09-30,17.82
300488,2020-06-30,13.96
300488,2020-03-31,14.69
300488,2019-12-31,15.26
