,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,2420,2841,7328,-,-,-
1,Enterprise Value,856,982,14747,-,-,-
2,Last Close Price,5.28,6.18,13.94,-,-,-
3,Forward PE,-,-,75.54,-,-,-
4,PS Ratio,1.03,1.21,3.11,-,-,-
5,PB Ratio,1.35,1.56,3.55,-,-,-
6,P/TBV Ratio,1.57,1.57,3.57,-,-,-
7,EV/Sales Ratio,0.36,0.42,6.26,-,-,-
8,Debt / Equity Ratio,0.03,0.03,0.04,-1.27,-1.28,-
9,Earnings Yield,-11.21%,-9.55%,16.63%,-,-,-
10,FCF Yield,-15.26%,-13.00%,-4.85%,-,-,-
11,Buyback Yield / Dilution,-230.78%,-3.28%,-222.51%,-,-,-
12,Total Shareholder Return,-230.78%,-3.28%,-222.51%,-,-,-
