,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022"
0,Revenue,282.09,286.05,278.29,288.27,240.75
1,Revenue Growth (YoY),1.37%,-0.77%,15.59%,-,-
2,Cost of Revenue,108.26,115.47,110.28,106.21,89.05
3,Gross Profit,173.84,170.58,168.01,182.06,151.7
4,"Selling, General & Admin",11.22,12.48,9.93,10.35,8.78
5,Other Operating Expenses,131.91,128.15,114.07,124.84,94.41
6,Operating Expenses,154.58,153.34,135.82,147.4,114.15
7,Operating Income,19.26,17.25,32.19,34.66,37.55
8,Interest Expense,-1.87,-2.31,-1.97,-1.99,-1.58
9,Interest & Investment Income,4.25,-,2.93,2.24,0.71
10,Currency Exchange Gain (Loss),-0.44,1.53,8.15,-7.84,-1.68
11,Other Non Operating Income (Expenses),0.07,14.68,0.02,0.33,-0
12,EBT Excluding Unusual Items,21.26,31.15,41.32,27.4,35
13,Gain (Loss) on Sale of Investments,-,1.09,0.02,1.6,-4.71
14,Gain (Loss) on Sale of Assets,0.06,0.49,0.02,0,0.11
15,Other Unusual Items,0.55,-31.46,-14.45,-0.09,2.31
16,Pretax Income,21.87,1.27,26.9,28.92,32.7
17,Income Tax Expense,6.17,8.83,9.84,7.06,10.4
18,Earnings From Continuing Operations,15.69,-7.56,17.05,21.85,22.3
19,Minority Interest in Earnings,-,0.76,-1.71,-,-
20,Net Income,15.69,-6.81,15.35,21.85,22.3
21,Net Income to Common,15.69,-6.81,15.35,21.85,22.3
22,Net Income Growth,2.24%,-,-31.17%,-,-
23,Shares Outstanding (Basic),806,631,714,-,-
24,Shares Outstanding (Diluted),807,632,714,-,-
25,Shares Change (YoY),12.92%,-,-,-,-
26,EPS (Basic),0.02,-0.01,0.02,-,-
27,EPS (Diluted),0.02,-0.01,0.02,-,-
28,EPS Growth,-9.37%,-,-,-,-
29,Free Cash Flow,-11.53,14.89,5.4,46.5,17.97
30,Free Cash Flow Per Share,-0.01,0.02,0.01,-,-
31,Operating Margin,6.83%,6.03%,11.57%,12.02%,15.60%
32,Profit Margin,5.56%,-2.38%,5.52%,7.58%,9.26%
33,Free Cash Flow Margin,-4.09%,5.20%,1.94%,16.13%,7.46%
34,EBITDA,30.1,28.6,43.52,46.28,48.12
35,D&A For EBITDA,10.84,11.35,11.32,11.62,10.57
36,EBIT,19.26,17.25,32.19,34.66,37.55
37,Revenue as Reported,282.09,286.05,278.29,288.27,240.75
