,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,156,184,279,972,663,327,188,125,90,119,180,Upgrade
1,Market Cap Growth,-81.11%,-81.11%,-57.90%,197.00%,252.17%,161.44%,109.09%,5.52%,-50.00%,-61.84%,-55.10%,Upgrade
2,Enterprise Value,78,92,179,907,630,288,200,57,47,74,165,Upgrade
3,Last Close Price,0.17,0.20,0.31,1.08,0.81,0.40,0.23,0.15,0.11,0.14,0.22,Upgrade
4,PE Ratio,-,-,-,-,-,49.31,-9902.61,-,-,-,-,Upgrade
5,PS Ratio,0.28,0.34,0.57,2.02,1.33,0.63,0.43,0.36,0.31,0.44,0.54,Upgrade
6,PB Ratio,0.94,1.11,1.57,5.27,4.86,2.15,1.27,0.91,0.65,0.81,1.19,Upgrade
7,P/TBV Ratio,1.11,1.11,1.57,5.27,4.86,2.15,1.27,0.91,0.65,0.81,1.19,Upgrade
8,P/FCF Ratio,33.92,39.99,-,-,21.02,-,-,-,4.12,4.11,-8.92,Upgrade
9,P/OCF Ratio,22.70,22.70,-,-,19.63,-,-,-,3.98,4.07,-9.11,Upgrade
10,EV/Sales Ratio,0.14,0.17,0.36,1.89,1.26,0.55,0.45,0.16,0.16,0.28,0.50,Upgrade
11,EV/EBITDA Ratio,10.11,14.86,21.50,197.64,127.87,31.72,41.17,-6.18,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,117.30,-60.34,-,-,-,-,Upgrade
13,EV/FCF Ratio,16.98,20.14,-,-,19.97,-,-,-,2.15,2.56,-8.16,Upgrade
14,Debt / Equity Ratio,0.36,0.36,0.19,0.18,0.26,0.13,0.44,0.50,0.18,0.10,0.04,Upgrade
15,Debt / FCF Ratio,12.87,12.87,-,-,1.11,-,-,-,1.15,0.51,-0.29,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,1.44%,-2.00%,-,-,-,-,Upgrade
17,Earnings Yield,-10.64%,-9.02%,-3.20%,-1.65%,-1.15%,2.03%,-0.01%,-11.66%,-16.97%,-11.33%,-8.24%,Upgrade
18,FCF Yield,2.95%,2.50%,-8.39%,2.27%,4.76%,-2.76%,-18.32%,-11.16%,24.26%,24.31%,-11.21%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,0.50%,-,-,-,-,-,Upgrade
20,Buyback Yield / Dilution,-6.46%,-3.11%,-10.03%,-6.69%,-,-,-,-,-,-,-,Upgrade
21,Total Shareholder Return,-6.46%,-3.11%,-10.03%,-6.69%,-,0.50%,-,-,-,-,-,Upgrade
