,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2202,1147,1186,1499,1658,2313,2912,4496,2689,2031,1618,Upgrade
1,Market Cap Growth,-23.48%,-23.48%,-28.49%,-35.21%,-43.06%,-48.55%,8.32%,121.39%,66.17%,16.88%,-5.34%,Upgrade
2,Enterprise Value,1358,-4,-102,182,202,716,1276,2849,1097,482,20,Upgrade
3,Last Close Price,6.76,3.52,3.64,4.60,5.09,7.10,8.94,13.80,8.22,6.21,4.72,Upgrade
4,PE Ratio,-,-,-,-12.01,-,-,-,-,67.80,103.73,15.68,Upgrade
5,Forward PE,157.36,-,-,-,-,-,-,-,23.03,18.33,22.39,Upgrade
6,PS Ratio,2.30,1.22,1.34,1.92,2.16,2.78,4.02,7.18,4.44,4.54,3.12,Upgrade
7,PB Ratio,2.38,1.24,1.24,1.59,2.06,2.34,2.57,3.84,1.79,1.48,1.10,Upgrade
8,P/TBV Ratio,1.26,1.26,1.24,1.59,2.07,2.36,2.61,3.91,1.82,1.52,1.13,Upgrade
9,P/FCF Ratio,59.32,30.89,-,-,-,-,-,-,25.32,17.64,11.26,Upgrade
10,P/OCF Ratio,30.21,30.21,-,-,-,-,-,-,25.01,17.28,10.96,Upgrade
11,EV/Sales Ratio,1.44,-,-,0.23,0.26,0.86,1.76,4.55,1.81,1.08,0.04,Upgrade
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-7.78,-,Upgrade
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-9.03,-,Upgrade
14,EV/FCF Ratio,36.57,-,-,-,-,-,-,-,10.33,4.19,0.14,Upgrade
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.02,0.02,0.00,0.01,0.00,0.01,0.01,Upgrade
16,Debt / FCF Ratio,0.17,0.17,-,-,-,-,-,-,0.07,0.08,0.10,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-3.89%,-,Upgrade
18,Earnings Yield,-0.59%,-1.14%,1.47%,-8.33%,-14.46%,-6.54%,-7.80%,-3.17%,1.47%,0.97%,6.39%,Upgrade
19,FCF Yield,1.69%,3.24%,-3.98%,-9.47%,-11.08%,-6.23%,-4.21%,-0.32%,3.95%,5.67%,8.88%,Upgrade
20,Buyback Yield / Dilution,-4.50%,-1.93%,-7.20%,-5.36%,-0.05%,-,6.42%,7.61%,0.47%,-1.12%,0.05%,Upgrade
21,Total Shareholder Return,-4.50%,-1.93%,-7.20%,-5.36%,-0.05%,-,6.42%,7.61%,0.47%,-1.12%,0.05%,Upgrade
