Stock Symbol,Date,Stock Price
300358,2024-09-30,7.92
300358,2024-06-30,7.34
300358,2024-03-31,9.27
300358,2023-12-31,10.55
300358,2023-09-30,12.41
300358,2023-06-30,14.62
300358,2023-03-31,17.04
300358,2022-12-31,14.44
300358,2022-09-30,15.66
300358,2022-06-30,17.42
300358,2022-03-31,17.96
300358,2021-12-31,25.34
300358,2021-09-30,18.32
300358,2021-06-30,18.18
300358,2021-03-31,11.64
300358,2020-12-31,10.69
300358,2020-09-30,12.39
300358,2020-06-30,10.22
300358,2020-03-31,7.3
300358,2019-12-31,6.69
