,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Last Close Price,6300.0,5800.0,7700.0
1,Quick Ratio,13.61,13.61,14.46
2,Current Ratio,13.61,13.61,16.8
