,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Market Capitalization,34300,32200,32200
1,Last Close Price,4900.00,4600.00,4600.00
2,PE Ratio,-,-56.07,-
3,PS Ratio,0.15,0.33,1.11
4,PB Ratio,0.31,0.29,0.29
5,P/TBV Ratio,0.29,0.29,0.29
6,Debt / Equity Ratio,-,-,0.06
7,Quick Ratio,2.81,2.81,5.37
8,Current Ratio,2.92,2.92,5.50
9,Earnings Yield,-3.45%,-1.78%,-3.26%
