Stock Symbol,Date,Stock Price
SDA,2024-09-30,5.5
SDA,2024-06-30,6.6
SDA,2024-03-31,6.1
SDA,2023-12-31,6.5
SDA,2023-09-30,6.8
SDA,2023-06-30,7.5
SDA,2023-03-31,5.5
SDA,2022-12-31,6.3
SDA,2022-09-30,10.7
SDA,2022-06-30,13.7
SDA,2022-03-31,38.2
SDA,2021-12-31,28.0
SDA,2021-09-30,12.2
SDA,2021-06-30,4.9
SDA,2021-03-31,4.1
SDA,2020-12-31,5.0
SDA,2020-09-30,5.0
SDA,2020-06-30,3.0
SDA,2020-03-31,2.1
SDA,2019-12-31,3.3
