Stock Symbol,Date,Stock Price
0158,2024-09-30,60.637
0158,2024-06-30,65.197
0158,2024-03-31,74.646
0158,2023-12-31,94.572
0158,2023-09-30,109.406
0158,2023-06-30,115.897
0158,2023-03-31,111.549
0158,2022-12-31,94.589
0158,2022-09-30,109.002
0158,2022-06-30,119.902
0158,2022-03-31,124.805
0158,2021-12-31,126.674
0158,2021-09-30,126.587
0158,2021-06-30,137.945
0158,2021-03-31,134.307
0158,2020-12-31,134.155
0158,2020-09-30,138.952
0158,2020-06-30,141.433
0158,2020-03-31,148.961
0158,2019-12-31,162.259
