,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Last Close Price,15900.00,16000.00,22000.00
1,Debt / Equity Ratio,3.60,3.60,5.16
2,Debt / EBITDA Ratio,-,66.89,-
3,Quick Ratio,0.12,0.29,0.18
4,Current Ratio,1.65,1.65,2.06
5,Return on Capital Employed (ROCE),8.19%,-4.79%,-
