,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,623,726,6671,-,-,-
1,Enterprise Value,42,-67,8025,-,-,-
2,Last Close Price,1.21,1.41,12.96,-,-,-
3,PB Ratio,0.93,1.23,8.62,-,-,-
4,P/TBV Ratio,1.23,1.23,8.62,-,-,-
5,Debt / Equity Ratio,0.04,0.04,0.02,-1.68,-2.70,-
6,Earnings Yield,-103.59%,-88.90%,-15.51%,-,-,-
7,FCF Yield,-68.71%,-58.96%,-5.92%,-,-,-
8,Buyback Yield / Dilution,0.74%,-77.41%,-2.08%,-500.00%,-,-
9,Total Shareholder Return,0.74%,-77.41%,-2.08%,-500.00%,-,-
