,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,225,373,252,439,573,234,434,47,50,36,43,Upgrade
1,Market Cap Growth,-15.06%,-15.06%,-56.03%,87.42%,32.04%,402.52%,761.97%,31.08%,17.81%,-29.66%,-61.75%,Upgrade
2,Enterprise Value,321,479,305,557,599,243,447,53,62,41,57,Upgrade
3,Last Close Price,0.38,0.63,0.51,0.89,1.16,0.76,1.40,0.18,0.20,0.16,0.19,Upgrade
4,PE Ratio,-,-1192.60,-,15.53,43.12,-,-,-,30.63,-,-,Upgrade
5,PS Ratio,0.28,0.56,0.32,1.08,2.11,1.39,3.64,0.47,0.54,0.47,0.58,Upgrade
6,PB Ratio,0.51,1.06,0.85,1.47,1.85,1.48,2.12,0.23,0.25,0.20,0.23,Upgrade
7,P/TBV Ratio,1.12,1.12,0.90,1.54,1.94,1.49,2.15,0.23,0.25,0.20,0.23,Upgrade
8,P/FCF Ratio,23.05,86.85,-,-2.83,-,-,-105.03,-,41.25,-,-2.89,Upgrade
9,P/OCF Ratio,35.87,75.66,-,-2.92,-,-,-105.03,-,31.24,-,-3.26,Upgrade
10,EV/Sales Ratio,0.48,0.72,0.39,1.37,2.21,1.44,3.75,0.53,0.66,0.54,0.78,Upgrade
11,EV/EBITDA Ratio,33.93,58.49,30.80,-71.75,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,43.71,65.24,33.71,-66.18,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,32.83,111.44,-,-3.59,-,-,-108.21,-,50.42,-,-3.89,Upgrade
14,Debt / Equity Ratio,0.43,0.43,0.42,0.24,0.44,0.29,0.14,0.16,0.17,0.20,0.21,Upgrade
15,Debt / FCF Ratio,15.51,35.26,-,-0.46,-,-,-6.90,-,28.47,-,-2.64,Upgrade
16,Return on Capital Employed (ROCE),1.77%,1.77%,2.29%,-2.36%,-,-,-,-,-,-,-,Upgrade
17,Earnings Yield,-0.14%,-0.08%,0.26%,6.44%,2.32%,-12.58%,-5.04%,11.04%,3.26%,-33.44%,-33.18%,Upgrade
18,FCF Yield,4.34%,1.15%,2.57%,-35.35%,-38.77%,-1.68%,-0.95%,2.21%,2.42%,4.72%,-34.56%,Upgrade
19,Buyback Yield / Dilution,-11.12%,3.12%,-30.38%,-71.32%,-41.95%,-19.98%,-11.62%,-16.67%,-14.29%,-20.00%,-17.36%,Upgrade
20,Total Shareholder Return,-11.12%,3.12%,-30.38%,-71.32%,-41.95%,-19.98%,-11.62%,-16.67%,-14.29%,-20.00%,-17.36%,Upgrade
