Stock Symbol,Date,Stock Price
601601,2024-09-30,39.1
601601,2024-06-30,26.85
601601,2024-03-31,22.17
601601,2023-12-31,22.92
601601,2023-09-30,27.56
601601,2023-06-30,25.04
601601,2023-03-31,24.04
601601,2022-12-31,22.74
601601,2022-09-30,18.86
601601,2022-06-30,20.87
601601,2022-03-31,20.33
601601,2021-12-31,24.05
601601,2021-09-30,24.07
601601,2021-06-30,25.7
601601,2021-03-31,32.22
601601,2020-12-31,32.7
601601,2020-09-30,26.58
601601,2020-06-30,23.21
601601,2020-03-31,23.07
601601,2019-12-31,30.93
