,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,502,309,332,309,282,255,255,290,305,355,637,Upgrade
1,Market Cap Growth,0%,0%,17.81%,21.21%,10.61%,-12.00%,-16.46%,-18.48%,-52.12%,-47.43%,-8.84%,Upgrade
2,Enterprise Value,528,271,254,217,272,279,217,143,183,173,392,Upgrade
3,Last Close Price,1.30,0.80,0.81,0.75,0.60,0.55,0.55,0.62,0.65,0.76,1.37,Upgrade
4,PE Ratio,15.64,9.62,6.47,2.86,2.46,4.65,12.32,-,-,-,-,Upgrade
5,PS Ratio,0.41,0.25,0.28,0.27,0.25,0.21,0.22,0.31,0.41,0.42,0.61,Upgrade
6,PB Ratio,0.97,0.51,0.53,0.51,0.47,0.47,0.47,0.57,0.65,0.43,0.69,Upgrade
7,P/TBV Ratio,0.65,0.65,0.67,0.66,0.60,0.63,0.64,0.79,0.74,0.46,0.72,Upgrade
8,P/FCF Ratio,-,-,-,6.57,7.79,-18.63,-,-,-10.25,-,-,Upgrade
9,P/OCF Ratio,8.31,8.31,4.88,2.87,2.82,5.96,-,-,6.17,-,-,Upgrade
10,EV/Sales Ratio,0.43,0.22,0.21,0.19,0.24,0.23,0.19,0.15,0.25,0.21,0.38,Upgrade
11,EV/EBITDA Ratio,6.60,4.43,3.23,3.88,5.25,3.71,4.00,3.10,-7.51,-,-,Upgrade
12,EV/EBIT Ratio,12.09,8.15,4.89,7.64,10.71,5.47,5.49,-159.38,-,-,-,Upgrade
13,EV/FCF Ratio,-6.26,-,-,4.61,7.52,-20.42,-,-,-6.15,-,-,Upgrade
14,Debt / Equity Ratio,0.10,0.10,0.04,0.02,0.02,0.09,0.15,0.06,0.05,0.03,0.03,Upgrade
15,Debt / FCF Ratio,-,-,-,0.21,0.33,-3.73,-,-,-0.79,-,-,Upgrade
16,Return on Capital Employed (ROCE),5.21%,5.21%,7.83%,4.52%,4.04%,8.97%,7.00%,-0.17%,-,-,-,Upgrade
17,Earnings Yield,6.39%,10.39%,15.45%,34.94%,40.70%,21.49%,8.12%,-145.94%,-167.73%,-49.65%,-21.38%,Upgrade
18,FCF Yield,-16.81%,-27.31%,-3.47%,15.22%,12.84%,-5.37%,-34.27%,-15.75%,-9.76%,-28.78%,5.01%,Upgrade
19,Dividend Yield,3.85%,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.45%,Upgrade,
21,Total Shareholder Return,3.85%,-,-,-,-,-,-,-,-,-,-0.45%,Upgrade
