,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,11209,13456,10941,13108,14981,-,-,-,-
1,Enterprise Value,10185,12439,10225,13859,15732,-,-,-,-
2,Last Close Price,4.19,5.02,4.07,4.87,5.57,-,-,-,-
3,PE Ratio,49.27,63.01,69.95,99.25,120.77,-,-,-,-
4,PS Ratio,1.02,1.31,1.11,1.39,1.61,-,-,-,-
5,PB Ratio,2.58,3.09,2.55,3.07,3.54,-,-,-,-
6,P/TBV Ratio,3.32,3.32,2.73,3.28,3.79,-,-,-,-
7,P/FCF Ratio,15.03,18.04,12.23,17.67,18.00,-,-,-,-
8,P/OCF Ratio,16.30,16.30,11.27,15.98,16.33,-,-,-,-
9,EV/Sales Ratio,0.99,1.21,1.04,1.47,1.69,-,-,-,-
10,EV/EBITDA Ratio,29.22,34.65,36.30,54.53,60.36,-,-,-,-
11,EV/EBIT Ratio,40.09,44.99,50.89,80.33,87.65,-,-,-,-
12,EV/FCF Ratio,13.65,16.68,11.43,18.68,18.90,-,-,-,-
13,Debt / Equity Ratio,0.16,0.16,0.15,0.14,0.21,0.35,0.47,0.49,0.49
14,Debt / EBITDA Ratio,1.98,1.16,1.88,1.74,4.11,3.88,6.91,4.13,13.08
15,Debt / FCF Ratio,0.93,0.93,0.71,0.79,1.04,2.24,5.13,10.52,38.86
16,Asset Turnover,1.03,1.12,1.11,1.26,0.96,-,-,-,
17,Inventory Turnover,3.66,3.50,3.91,3.70,3.78,2.86,-,-,-
18,Quick Ratio,1.05,1.05,1.09,1.06,1.01,0.78,0.86,-,0.68
19,Current Ratio,1.61,1.61,1.63,1.66,1.67,1.42,1.43,-,1.42
20,Return on Equity (ROE),7.17%,5.55%,3.92%,3.79%,2.57%,4.52%,4.38%,-,
21,Return on Assets (ROA),3.37%,1.49%,1.74%,0.83%,1.59%,-,-,-,
22,Return on Capital (ROIC),6.44%,2.85%,3.19%,1.53%,2.97%,1.49%,3.86%,-,
23,Return on Capital Employed (ROCE),5.81%,6.32%,4.54%,3.91%,4.12%,4.75%,3.08%,-,0.18%
24,Earnings Yield,1.91%,1.59%,1.43%,1.01%,0.83%,-,-,-,-
25,FCF Yield,6.65%,5.54%,8.17%,5.66%,5.56%,-,-,-,-
26,Dividend Yield,0.54%,-,0.62%,-,0.25%,-,-,-,-
27,Payout Ratio,22.53%,52.49%,3.21%,4.47%,10.52%,8.43%,10.04%,9.99%,24.48%
28,Buyback Yield / Dilution,-25.27%,-34.36%,-33.57%,-32.65%,-0.51%,-,-,-,-
29,Total Shareholder Return,-24.73%,-34.36%,-32.94%,-32.65%,-0.26%,-,-,-,-
