,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,109,149,122,88,198,258,171,167,211,167,83,Upgrade
1,Market Cap Growth,68.09%,68.09%,-38.10%,-65.69%,15.38%,53.93%,-18.75%,0%,154.55%,-11.88%,-69.23%,Upgrade
2,Enterprise Value,5234,5277,5830,5935,6169,5814,5349,5753,5223,4197,5448,Upgrade
3,Last Close Price,0.58,0.79,0.65,0.47,1.05,1.37,0.91,0.89,1.12,0.89,0.44,Upgrade
4,PE Ratio,0.06,-,0.07,-,-,-,-,0.06,0.12,-,0.06,Upgrade
5,PS Ratio,0.03,0.04,0.04,0.03,0.07,0.10,0.11,0.11,0.25,0.28,0.07,Upgrade
6,PB Ratio,-0.05,-0.05,-0.05,-0.02,-0.05,-0.07,-0.06,-0.09,-0.09,-0.05,-0.04,Upgrade
7,P/FCF Ratio,0.23,0.31,0.28,0.20,0.33,0.94,-,0.61,5.26,-,0.34,Upgrade
8,P/OCF Ratio,0.25,0.25,0.22,0.14,0.24,0.61,0.58,0.44,2.14,-,0.25,Upgrade
9,EV/Sales Ratio,1.58,1.59,1.84,2.29,2.12,2.34,3.42,3.76,6.08,7.07,4.84,Upgrade
10,EV/EBITDA Ratio,1.79,1.81,2.08,9.66,6.69,6.65,10.20,16.37,-,-15.98,-,Upgrade
11,EV/EBIT Ratio,2.87,2.89,3.35,-13.45,-,11.97,-,4.08,4.85,7.89,6.84,Upgrade
12,EV/FCF Ratio,10.93,11.02,13.14,13.33,10.24,21.10,-,20.99,130.44,-,22.18,Upgrade
13,Debt / Equity Ratio,-1.68,-1.68,-1.96,-1.19,-1.38,-1.73,-2.09,-2.85,-2.29,-1.52,-1.76,Upgrade
14,Debt / FCF Ratio,10.92,10.92,11.85,13.11,9.92,21.94,-,19.24,137.01,-,16.88,Upgrade
15,Return on Capital Employed (ROCE),-,-,-,-,-,44.47%,-,78.57%,80.91%,-,729.94%,Upgrade
16,Earnings Yield,1633.03%,1198.94%,1372.18%,-1587.88%,-811.56%,-443.61%,-203.89%,1702.84%,851.96%,550.26%,1741.99%,Upgrade
17,FCF Yield,438.90%,322.23%,362.99%,503.39%,304.83%,106.91%,112.40%,163.72%,19.00%,34.79%,296.67%,Upgrade
18,Buyback Yield / Dilution,-,-,-,-,94.02%,96.83%,-1571.76%,28.90%,-,-4333.50%,Upgrade,
19,Total Shareholder Return,-,-,-,-,94.02%,96.83%,-1571.76%,28.90%,-,-4333.50%,Upgrade,
