,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,12942,18895,-,-,-
1,Enterprise Value,13362,20862,-,-,-
2,Last Close Price,54.80,80.35,-,-,-
3,PS Ratio,1.01,13.29,-,-,-
4,PB Ratio,22.91,33.59,-,-,-
5,P/TBV Ratio,33.89,33.89,-,-,-
6,EV/Sales Ratio,8.96,14.68,-,-,-
7,Debt / Equity Ratio,1.91,1.91,1.91,-,-2.20
8,Debt / EBITDA Ratio,26.34,47.38,47.38,-,216.07
9,Asset Turnover,0.57,-,-,-,
10,Quick Ratio,0.39,0.39,0.39,-,-
11,Current Ratio,1.23,1.23,1.23,-,-
12,Return on Equity (ROE),-313.31%,-,-,-,
13,Return on Assets (ROA),-1.84%,-,-,-,
14,Return on Capital (ROIC),-3.14%,-,-,-,
15,Earnings Yield,-7.65%,-5.05%,-,-,-
16,FCF Yield,-0.97%,-0.78%,-,-,-
