,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,475,540,550,620,610,610,620,630,610,510,465
1,Market Cap Growth,-12.90%,-12.90%,-9.84%,1.64%,-1.61%,-3.17%,1.64%,23.53%,31.18%,-8.93%,-
2,Enterprise Value,780,856,756,818,811,853,882,862,618,464,426
3,Last Close Price,0.47,0.54,0.53,0.59,0.56,0.54,0.52,0.52,0.48,0.39,0.34
4,PE Ratio,6.79,7.72,8.57,6.97,4.84,5.44,6.27,6.98,7.64,8.40,9.71
5,PS Ratio,1.67,1.90,2.03,1.85,1.49,1.61,1.94,2.16,2.38,2.36,2.37
6,PB Ratio,1.08,1.22,1.27,1.67,1.64,1.88,2.12,2.45,2.62,2.47,2.41
7,P/TBV Ratio,1.22,1.22,1.27,1.67,1.64,1.88,2.13,2.46,2.62,2.47,2.41
8,P/FCF Ratio,3.71,4.22,5.09,11.31,5.70,5.02,5.44,5.16,5.45,5.58,7.25
9,P/OCF Ratio,5.20,5.20,4.15,4.42,3.74,4.10,5.13,4.93,5.17,5.14,6.26
10,EV/Sales Ratio,2.75,3.01,2.79,2.44,1.99,2.25,2.75,2.96,2.41,2.15,2.17
11,EV/EBITDA Ratio,7.17,11.39,11.26,6.94,5.45,6.52,7.16,7.99,6.53,5.72,6.00
12,EV/EBIT Ratio,12.68,13.41,13.43,7.66,5.79,6.85,7.54,8.47,6.92,6.04,6.38
13,EV/FCF Ratio,6.09,6.68,7.00,14.92,7.58,7.02,7.74,7.06,5.52,5.07,6.64
14,Debt / Equity Ratio,0.81,0.81,0.88,0.76,0.72,0.86,1.01,1.21,1.47,1.04,0.72
15,Debt / FCF Ratio,2.79,2.79,3.56,5.12,2.52,2.31,2.58,2.54,3.06,2.34,2.16
16,Return on Capital Employed (ROCE),8.23%,8.54%,7.31%,17.32%,22.76%,21.32%,20.78%,18.78%,16.26%,19.13%,21.02%
17,Earnings Yield,14.72%,12.95%,11.67%,14.34%,20.68%,18.37%,15.96%,14.32%,13.09%,11.91%,10.29%
18,FCF Yield,26.96%,23.72%,19.65%,8.85%,17.54%,19.93%,18.39%,19.38%,18.35%,17.93%,13.80%
19,Dividend Yield,6.32%,-,5.66%,5.46%,7.92%,8.76%,8.59%,7.75%,8.26%,10.25%,11.71%
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.00%,-11.08%,-33.33%,
21,Total Shareholder Return,6.32%,-,5.66%,5.46%,7.92%,8.76%,8.59%,7.75%,8.26%,-0.83%,-21.62%
