,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,440,463,485,477,301,310,347,338,389,352,407,Upgrade
1,Market Cap Growth,-3.13%,-3.13%,61.29%,54.07%,-13.33%,-8.22%,-10.71%,-3.95%,-4.55%,-39.68%,-35.29%,Upgrade
2,Enterprise Value,532,389,371,564,420,404,508,442,529,419,550,Upgrade
3,Last Close Price,0.29,0.31,0.33,0.32,0.33,0.34,0.38,0.36,0.42,0.38,0.44,Upgrade
4,PE Ratio,-,-,-,-277.38,-,-,15.20,-,-,-,-,Upgrade
5,Forward PE,-,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,Upgrade
6,PS Ratio,1.06,1.12,1.18,1.23,0.77,0.80,0.84,0.95,1.19,1.13,1.21,Upgrade
7,PB Ratio,0.74,0.73,0.71,0.65,0.53,0.52,0.54,0.56,0.65,0.61,0.67,Upgrade
8,P/TBV Ratio,0.76,0.76,0.74,0.68,0.56,0.56,0.58,0.62,0.71,0.68,0.75,Upgrade
9,P/FCF Ratio,-,-,-,14.50,65.23,-,27.59,-,-32.44,-,-112.47,Upgrade
10,P/OCF Ratio,-,-,-,9.02,16.56,-,24.15,-,-33.99,-,12.18,Upgrade
11,EV/Sales Ratio,1.28,0.95,0.90,1.46,1.08,1.04,1.23,1.24,1.62,1.34,1.63,Upgrade
12,EV/EBITDA Ratio,-,-,-,27.49,-,8.04,9.90,-47.21,-,-32.35,-,Upgrade
13,EV/EBIT Ratio,-,-,-,-190.48,-,-,18.33,-,-,-,-,Upgrade
14,EV/FCF Ratio,-,-,-,17.13,91.17,-,40.41,-,-44.20,-,-151.99,Upgrade
15,Debt / Equity Ratio,0.36,0.36,0.26,0.23,0.33,0.32,0.31,0.37,0.33,0.34,0.34,Upgrade
16,Debt / FCF Ratio,-,-,-,5.13,40.37,-,15.99,-,-16.75,-,-57.01,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,-0.35%,-,-,3.87%,-,-,-,-,Upgrade
18,Earnings Yield,-10.97%,-18.32%,-9.99%,-0.36%,-6.85%,6.45%,6.58%,-8.03%,-9.05%,-21.08%,-13.08%,Upgrade
19,FCF Yield,-24.15%,-24.15%,0.18%,6.90%,1.53%,12.17%,3.62%,-2.82%,-3.08%,3.58%,-0.89%,Upgrade
20,Buyback Yield / Dilution,-48.64%,-37.54%,-61.65%,-17.27%,-,-,-,-,-,-,-,Upgrade
21,Total Shareholder Return,-48.64%,-37.54%,-61.65%,-17.27%,-,-,-,-,-,-,-,Upgrade
