,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,540,453,513,453,513,531,604,494,534,424,526,Upgrade
1,Market Cap Growth,0%,0%,0%,-14.66%,-15.15%,7.41%,13.24%,16.67%,1.49%,-32.50%,-16.25%,Upgrade
2,Enterprise Value,4239,3968,4089,4001,4245,4462,4580,4101,3881,3594,3626,Upgrade
3,Last Close Price,0.59,0.48,0.53,0.47,0.53,0.55,0.63,0.60,0.64,0.51,0.64,Upgrade
4,PE Ratio,-,-1.31,-,-12.86,-,7.02,-,12.23,-,-4.06,-,Upgrade
5,PS Ratio,0.08,0.07,0.08,0.07,0.08,0.16,-,0.14,-,0.07,0.09,Upgrade
6,PB Ratio,0.45,0.21,0.24,0.18,0.19,0.20,0.19,0.19,0.21,0.19,0.25,Upgrade
7,P/TBV Ratio,0.41,0.41,0.45,0.30,0.31,0.31,0.28,0.31,0.35,0.32,0.43,Upgrade
8,P/FCF Ratio,2.59,2.17,1.97,0.98,2.21,-,-,-,-,-,-2.69,Upgrade
9,P/OCF Ratio,0.91,0.91,1.08,0.72,0.97,-,-,-,-,0.92,1.39,Upgrade
10,EV/Sales Ratio,0.63,0.59,0.63,0.62,0.65,1.32,-,1.14,-,0.60,0.60,Upgrade
11,EV/EBITDA Ratio,29.75,8.53,10.74,12.28,17.52,61.67,-,25.38,-,15.91,16.00,Upgrade
12,EV/EBIT Ratio,14.91,14.91,22.01,30.05,77.05,-,-,52.94,-,48.75,-,Upgrade
13,EV/FCF Ratio,20.35,19.04,15.74,8.64,18.27,-,-,-,-,-,-18.57,Upgrade
14,Debt / Equity Ratio,1.61,1.61,1.77,1.39,1.40,1.48,1.29,1.54,1.63,1.53,1.70,Upgrade
15,Debt / FCF Ratio,16.96,16.96,14.68,7.62,16.38,-,-,-,-,-,-18.42,Upgrade
16,Return on Capital Employed (ROCE),7.72%,7.72%,4.76%,4.09%,1.37%,-,-,1.92%,-,2.43%,-,Upgrade
17,Earnings Yield,-63.81%,-76.06%,-71.65%,-7.78%,7.20%,14.25%,-,8.18%,-,-24.65%,3.98%,Upgrade
18,FCF Yield,38.58%,45.98%,50.67%,102.19%,45.31%,-31.21%,-,-67.89%,-,-16.42%,-37.14%,Upgrade
19,Dividend Yield,5.08%,3.12%,-,-,-,-,-,-,-,-,-,Upgrade
20,Buyback Yield / Dilution,0.00%,-,-,-0.00%,-,-16.15%,-,-0.45%,-,-,-,Upgrade
21,Total Shareholder Return,5.08%,3.12%,-,-0.00%,-,-16.15%,-,-0.45%,-,-,-,Upgrade
