,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,1776,5171,11187,-,-,-
1,Enterprise Value,1330,4583,10650,-,-,-
2,Last Close Price,4.36,13.82,29.90,-,-,-
3,PS Ratio,206.43,577.85,1162.81,-,-,-
4,PB Ratio,2.53,8.02,13.57,-,-,-
5,P/TBV Ratio,8.02,8.02,13.57,-,-,-
6,EV/Sales Ratio,169.74,512.14,1106.91,-,-,-
7,Debt / Equity Ratio,0.16,0.16,0.10,0.06,0.02,-
8,Earnings Yield,-22.65%,-7.78%,-3.74%,-,-,-
9,FCF Yield,-22.13%,-7.60%,-3.65%,-,-,-
10,Buyback Yield / Dilution,-4.08%,-5.07%,-3.09%,-15.96%,-,-
11,Total Shareholder Return,-4.08%,-5.07%,-3.09%,-15.96%,-,-
