,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,207.01,207.01,-,-
1,Cash & Short-Term Investments,207.01,207.01,-,92.74
2,Receivables,354.38,354.38,-,-
3,Inventory,275.17,275.17,-,-
4,Other Current Assets,196.74,196.74,-,-
5,Total Current Assets,1033.0,1033.0,-,-
6,"Property, Plant & Equipment",1246.0,1246.0,-,-
7,Long-Term Investments,36.15,36.15,-,-
8,Other Intangible Assets,3.51,3.51,-,-
9,Other Long-Term Assets,48.68,48.68,-,-
10,Total Assets,2368.0,2368.0,-,-
11,Accounts Payable,259.31,259.31,-,-
12,Current Portion of Long-Term Debt,1009.0,1009.0,-,-
13,Current Portion of Leases,14.22,14.22,-,-
14,Current Income Taxes Payable,2.29,2.29,-,-
15,Other Current Liabilities,338.29,338.29,-,-
16,Total Current Liabilities,1623.0,1623.0,-,-
17,Long-Term Leases,7.38,7.38,-,-
18,Long-Term Unearned Revenue,44.41,44.41,-,-
19,Long-Term Deferred Tax Liabilities,49.54,49.54,-,-
20,Total Liabilities,1724.0,1724.0,-,-
21,Common Stock,0.06,0.06,-,-
22,Retained Earnings,70.18,70.18,-,-
23,Comprehensive Income & Other,573.09,573.09,-,-
24,Shareholders' Equity,643.33,643.33,-,726.11
25,Total Liabilities & Equity,2368.0,2368.0,-,-
26,Total Debt,1031.0,1031.0,-,781.14
27,Net Cash (Debt),-823.53,-823.53,-,-688.39
28,Net Cash Per Share,-10.79,-10.79,-,-9.18
29,Filing Date Shares Outstanding,93.3,93.3,75,75
30,Total Common Shares Outstanding,93.3,93.3,75,75
31,Working Capital,-589.76,-589.76,-,-
32,Book Value Per Share,6.9,6.9,-,9.68
33,Tangible Book Value,639.81,639.81,-,722.53
34,Tangible Book Value Per Share,6.86,6.86,-,9.63
