Stock Symbol,Date,Stock Price
300554,2024-09-30,23.58
300554,2024-06-30,23.3
300554,2024-03-31,23.73
300554,2023-12-31,26.65
300554,2023-09-30,18.98
300554,2023-06-30,20.75
300554,2023-03-31,21.14
300554,2022-12-31,24.61
300554,2022-09-30,19.51
300554,2022-06-30,16.15
300554,2022-03-31,17.31
300554,2021-12-31,16.43
300554,2021-09-30,16.01
300554,2021-06-30,18.94
300554,2021-03-31,15.43
300554,2020-12-31,22.47
300554,2020-09-30,20.48
300554,2020-06-30,15.35
300554,2020-03-31,13.51
300554,2019-12-31,16.36
