Stock Symbol,Date,Stock Price
000599,2024-09-30,4.49
000599,2024-06-30,3.53
000599,2024-03-31,5.7
000599,2023-12-31,4.45
000599,2023-09-30,4.37
000599,2023-06-30,4.27
000599,2023-03-31,4.34
000599,2022-12-31,4.19
000599,2022-09-30,3.74
000599,2022-06-30,4.0297
000599,2022-03-31,3.8701
000599,2021-12-31,4.2491
000599,2021-09-30,3.8302
000599,2021-06-30,4.1594
000599,2021-03-31,4.0799
000599,2020-12-31,4.2292
000599,2020-09-30,4.4282
000599,2020-06-30,4.2205
000599,2020-03-31,4.0119
000599,2019-12-31,4.6971
