,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,766.18,481.03,454.95,782.02,664.72,628.61,576.79,703.53,494.64,585.67,2923,496.53,547.17,386.43,376.18,342.91,320.66,352.95,324.32,405.06,Upgrade
1,Short-Term Investments,236.78,203.69,244.75,305.55,593.65,729.87,1319,736.18,964.21,138.59,417.7,82.83,114.9,-,79.19,-,57.04,-,102.61,-,Upgrade
2,Trading Asset Securities,463.5,640,800,500,820.18,820,350,351,618.22,718.22,218.22,292.5,229.5,-,3,-,53,-,-,-,Upgrade
3,Cash & Short-Term Investments,1466,1325,1500,1588,2079,2178,2246,1791,2077,1442,3559,871.85,891.56,386.43,458.37,342.91,430.7,352.95,426.93,405.06,Upgrade
4,Cash Growth,-29.45%,-39.19%,-33.22%,-11.34%,0.07%,51.02%,-36.89%,105.39%,132.97%,273.28%,676.35%,154.25%,107.00%,9.49%,7.36%,-15.34%,-3.96%,-18.23%,-39.35%,3.68%,Upgrade
5,Accounts Receivable,2368,2107,1804,1825,1650,1458,1366,1170,1375,1518,1972,1921,1871,1543,1572,1461,1493,1289,1218,1292,Upgrade
6,Other Receivables,7.8,11.54,9.15,9.63,7.29,8.44,8.14,12.96,13.06,13.2,14.78,13.11,11.39,11.43,10.12,6.92,10.89,8.18,14.86,10.95,Upgrade
7,Receivables,2375,2118,1813,1834,1657,1467,1374,1183,1388,1531,1987,1934,1882,1555,1582,1468,1504,1297,1543,1303,Upgrade
8,Inventory,1518,1582,1508,1519,1552,1750,1816,1871,1870,1965,2105,1848,1533,1369,1186,1097,1006,909.88,900.66,879.69,Upgrade
9,Other Current Assets,233.13,260.5,252.7,330.05,222.62,365.38,351.82,763.07,287.5,1099,367.84,495.97,324.8,530.3,299.84,539.8,382.3,402.6,266.29,628.52,Upgrade
10,Total Current Assets,5593,5285,5074,5270,5511,5760,5788,5609,5623,6038,8018,5150,4632,3841,3526,3448,3323,2962,3137,3216,Upgrade
11,"Property, Plant & Equipment",4749,4443,4326,4313,4396,4381,4431,4142,4157,3827,3613,3322,3323,3137,2857,2525,2540,2605,2578,2580,Upgrade
12,Long-Term Investments,33.87,20.08,10.26,10.38,132.93,206.72,200.13,296.21,595.56,893.73,911.87,999.68,837.91,862.07,819.12,718.01,429.95,206.07,168.16,80.61,Upgrade
13,Goodwill,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,597.38,Upgrade
14,Other Intangible Assets,213.89,215.26,216.67,218.1,219.13,220.47,221.7,223.1,224.44,225.44,226.37,227.73,211.97,212.77,173.5,174.27,175.31,157.15,158.11,159.07,Upgrade
15,Long-Term Deferred Tax Assets,113.72,131.57,138.46,128.71,132.9,92.19,94.75,88.4,85.87,69.01,64.68,55.41,59.93,49.04,46.8,50.58,50.07,69.65,60.26,59.91,Upgrade
16,Long-Term Deferred Charges,1.04,3.12,3.13,3.39,2.79,3.76,2.82,4.19,2.52,2.36,3.4,4.94,2.59,4.59,4.32,4.76,4.84,2.85,2.67,3.32,Upgrade
17,Other Long-Term Assets,16.48,16.91,17.34,17.92,18.2,36.3,37.02,37.74,38.45,39.87,39.89,40.5,57.93,41.29,41.99,42.44,43.13,43.83,44.53,43.5,Upgrade
18,Total Assets,11319,10713,10383,10560,11011,11299,11372,10998,11324,11692,13474,10397,9722,8745,8066,7561,7164,6644,6746,6740,Upgrade
19,Accounts Payable,2152,1690,1514,1583,1443,1968,2092,1944,2057,2614,3036,2480,2295,1840,1665,1595,1224,1121,992.41,963.97,Upgrade
20,Accrued Expenses,80.94,47.59,49.55,37.77,79.51,28.48,48.54,35.75,64.32,24.48,45.86,37.3,62.87,24.94,28.18,25.35,47.43,25.31,25.17,17.82,Upgrade
21,Short-Term Debt,1002,1176,1222,1214,1598,1303,1269,1086,1246,1165,2158,2060,1889,1665,1427,1241,1244,1131,1289,1429,Upgrade
22,Current Portion of Long-Term Debt,107.09,107.08,61.05,46.04,67.07,74.48,57.05,60.03,32.03,16.02,186.51,-,23.03,3,92.65,219.81,-,105.17,-,60.18,Upgrade
23,Current Portion of Leases,1.94,-,-,-,1.7,-,1.41,-,1.41,-,0.58,-,0.91,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,61.94,81.6,49.01,62.65,44.99,38.59,18.23,63.66,53.94,57.19,36.61,89.14,48.37,39.59,29.23,36.59,35.28,39.19,18.1,11.06,Upgrade
25,Current Unearned Revenue,27.24,82.46,76.73,148.82,72.56,24.17,35.3,36.18,25.42,21.12,18.69,34.57,42.19,123.49,65.85,59.71,110.91,26.67,87.39,26.09,Upgrade
26,Other Current Liabilities,24.53,36.99,4.84,109.08,351.38,83.91,58.03,58.02,57.57,56.42,57.15,362.87,224.03,237.86,228.6,66.6,211.33,-,65.72,29.29,Upgrade
27,Total Current Liabilities,3458,3222,2976,3201,3658,3520,3579,3284,3538,3954,5540,5063,4585,3934,3537,3244,2873,2449,2478,2538,Upgrade
28,Long-Term Debt,157.12,137.11,233.18,315.77,339.36,338.32,382.87,334.16,398.44,314.33,654.1,697.14,781.25,470.51,365.9,304.84,610.35,772.91,903.21,941.08,Upgrade
29,Long-Term Leases,-,2.08,2.48,2.98,1.29,1.81,2.15,3.86,2.44,0.94,0.66,1.59,0.97,-,-,-,-,-,-,-,Upgrade
30,Long-Term Unearned Revenue,416.18,282.14,254.95,219.72,218.05,182.53,182.62,182.71,182.8,193.18,104.33,99.24,7.97,106.06,103.82,118.91,119,126.59,134.18,139.87,Upgrade
31,Long-Term Deferred Tax Liabilities,30,9.02,9.37,9.72,10.1,9.87,20.53,6.59,7.59,7.11,7.37,7.75,8.01,8.16,8.42,8.96,8.96,9.99,9.62,9.99,Upgrade
32,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164.71,164.71,166.4,166.41,Upgrade
33,Total Liabilities,4061,3652,3476,3749,4227,4052,4167,3811,4129,4469,6306,5869,5383,4519,4015,3677,3776,3523,3691,3795,Upgrade
34,Common Stock,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1036,1036,1036,1036,1036,998.93,981.32,981.32,981.31,Upgrade
35,Additional Paid-In Capital,2936,2935,2935,2935,2935,2928,2928,2928,2928,2921,2921,571.32,571.32,565.62,565.62,565.62,233.6,73.74,46.87,0.67,Upgrade
36,Retained Earnings,2838,2633,2517,2437,2367,2330,2309,2254,2267,2292,2239,2161,1961,1796,1630,1482,1322,1220,1117,1069,Upgrade
37,Comprehensive Income & Other,-2.27,15.28,-7.71,-6.92,-2.61,-,-,-,-,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,33.64,49.47,49.47,49.47,Upgrade
38,Total Common Equity,6924,6735,6596,6516,6451,6409,6388,6334,6346,6365,6312,3768,3568,3397,3231,3083,2588,2324,2194,2101,Upgrade
39,Minority Interest,334.31,325.01,310.22,293.94,332.24,836.74,817.03,852.14,848.8,857.74,855.94,759.97,771,828.72,819.7,800.63,800.52,796.8,860.45,844.06,Upgrade
40,Shareholders' Equity,7258,7060,6907,6810,6784,7246,7205,7186,7195,7223,7168,4528,4339,4226,4051,3884,3389,3121,3055,2945,Upgrade
41,Total Liabilities & Equity,11319,10713,10383,10560,11011,11299,11372,10998,11324,11692,13474,10397,9722,8745,8066,7561,7164,6644,6746,6740,Upgrade
42,Total Debt,1268,1422,1518,1579,2007,1717,1712,1484,1680,1496,3000,2759,2695,2139,1885,1766,1854,2009,2192,2431,Upgrade
