,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Market Capitalization,1254,1067,1038,1250
1,Market Cap Growth,65.63%,-14.61%,-,-
2,Enterprise Value,1253,1064,1034,1210
3,Last Close Price,10.02,8.53,8.30,9.99
4,PS Ratio,82084.85,-,79871.54,-
5,PB Ratio,-28.32,-28.32,-29.11,-38.12
6,EV/Sales Ratio,81869.15,-,79523.23,-
7,Earnings Yield,-7.91%,-9.29%,-9.62%,-3.97%
8,FCF Yield,-0.37%,-0.37%,-3.58%,-2.83%
9,Buyback Yield / Dilution,-563.03%,-400.40%,-,-
10,Total Shareholder Return,-563.03%,-400.40%,-,-
