,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,102,98,100,98,119,124,153,192,155,176,202,Upgrade
1,Market Cap Growth,0.63%,0.63%,-15.90%,-21.57%,-22.18%,-35.14%,-1.24%,8.96%,-23.38%,6.35%,11.59%,Upgrade
2,Enterprise Value,-21,-51,-58,-60,-16,-14,-40,306,-83,73,160,Upgrade
3,Last Close Price,0.20,0.19,0.18,0.16,0.20,0.20,0.24,0.22,0.18,0.20,0.20,Upgrade
4,PE Ratio,5.73,5.51,5.75,21.99,-,-2.42,-,0.49,-,-,-,Upgrade
5,PS Ratio,0.12,0.11,0.12,0.12,0.13,0.12,0.15,0.18,0.15,0.18,0.18,Upgrade
6,PB Ratio,0.16,0.15,0.16,0.16,0.18,0.20,0.23,0.25,0.44,0.49,0.45,Upgrade
7,P/TBV Ratio,0.15,0.15,0.16,0.16,0.19,0.20,0.23,0.25,0.44,0.49,0.45,Upgrade
8,P/FCF Ratio,-,-,-,3.01,3.16,10.17,-,-,-,-,2.79,Upgrade
9,P/OCF Ratio,-,-,2.52,1.37,1.38,1.59,-1.38,-,-,-,2.06,Upgrade
10,EV/Sales Ratio,-,-,-,-,-,-,-,0.29,-,0.07,0.14,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,1.24,2.33,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,5.07,-,Upgrade
13,EV/FCF Ratio,0.46,-,-,-,-,-,-,-,-,-,2.22,Upgrade
14,Debt / Equity Ratio,0.07,0.07,0.11,0.13,0.14,0.19,0.22,0.21,1.10,0.26,0.29,Upgrade
15,Debt / FCF Ratio,-,-,-,2.46,2.47,9.69,-,-,-,-,1.79,Upgrade
16,Return on Capital Employed (ROCE),3.34%,3.34%,3.24%,1.50%,1.60%,-3.09%,-,-,-,3.90%,-,Upgrade
17,Earnings Yield,17.52%,18.15%,17.40%,4.55%,5.44%,-41.28%,233.65%,203.00%,-63.60%,-44.16%,4.20%,Upgrade
18,FCF Yield,-45.83%,-47.47%,-4.74%,33.18%,31.60%,9.83%,-142.90%,-202.98%,-144.64%,7.40%,35.80%,Upgrade
19,Dividend Yield,14.78%,13.43%,14.15%,6.13%,-,5.09%,-,4.49%,-,-,-,Upgrade
20,Buyback Yield / Dilution,1.54%,1.18%,1.90%,1.85%,2.45%,1.71%,0.09%,-,-,-,-,Upgrade
21,Total Shareholder Return,16.32%,14.61%,16.05%,7.97%,2.45%,6.80%,0.09%,4.49%,-,-,-,Upgrade
