,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,373.04,373.04,-,-
1,Short-Term Investments,5.34,5.34,-,-
2,Cash & Short-Term Investments,378.38,378.38,-,557.84
3,Accounts Receivable,25.97,25.97,-,-
4,Other Receivables,30.81,30.81,-,-
5,Receivables,56.78,56.78,-,-
6,Inventory,1.97,1.97,-,-
7,Other Current Assets,92.36,92.36,-,-
8,Total Current Assets,529.48,529.48,-,-
9,"Property, Plant & Equipment",104.19,104.19,-,-
10,Other Intangible Assets,25.34,25.34,-,-
11,Other Long-Term Assets,19.84,19.84,-,-
12,Total Assets,678.85,678.85,-,-
13,Accounts Payable,80.08,80.08,-,-
14,Accrued Expenses,100.3,100.3,-,-
15,Short-Term Debt,2129.0,2129.0,-,-
16,Current Portion of Long-Term Debt,15.03,15.03,-,-
17,Current Portion of Leases,7.15,7.15,-,-
18,Current Income Taxes Payable,9.13,9.13,-,-
19,Current Unearned Revenue,16.27,16.27,-,-
20,Other Current Liabilities,60.82,60.82,-,-
21,Total Current Liabilities,2417.0,2417.0,-,-
22,Long-Term Leases,13.29,13.29,-,-
23,Total Liabilities,2431.0,2431.0,-,-
24,Common Stock,0.31,0.31,-,-
25,Additional Paid-In Capital,903.84,903.84,-,-
26,Retained Earnings,-2768.0,-2768.0,-,-
27,Comprehensive Income & Other,111.86,111.86,-,-
28,Shareholders' Equity,-1752.0,-1752.0,-,-749.64
29,Total Liabilities & Equity,678.85,678.85,-,-
30,Total Debt,2164.0,2164.0,-,1033
31,Net Cash (Debt),-1786.0,-1786.0,-,-474.74
32,Net Cash Per Share,-19.84,-19.84,-,-5.27
33,Filing Date Shares Outstanding,204.11,204.11,90,90
34,Total Common Shares Outstanding,100.0,100.0,90,90
35,Working Capital,-1888.0,-1888.0,-,-
36,Book Value Per Share,-17.52,-17.52,-,-8.33
37,Tangible Book Value,-1777.0,-1777.0,-,-761.33
38,Tangible Book Value Per Share,-17.77,-17.77,-,-8.46
