,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,-1.24,-1.24,-1.24,-,-1.38
1,Asset Turnover,3.06,-,-,-,
2,Inventory Turnover,-,1088.55,-,-,-
3,Quick Ratio,0.18,0.18,0.18,-,-
4,Current Ratio,0.22,0.22,0.22,-,-
5,Return on Assets (ROA),-47.95%,-,-,-,
6,Return on Capital (ROIC),-78.96%,-,-,-,
