Stock Symbol,Date,Stock Price
0700,2024-09-30,444.6
0700,2024-06-30,372.4
0700,2024-03-31,301.198
0700,2023-12-31,291.086
0700,2023-09-30,303.578
0700,2023-06-30,328.76
0700,2023-03-31,379.794
0700,2022-12-31,312.288
0700,2022-09-30,249.082
0700,2022-06-30,331.362
0700,2022-03-31,348.15
0700,2021-12-31,412.506
0700,2021-09-30,416.66
0700,2021-06-30,527.372
0700,2021-03-31,549.226
0700,2020-12-31,509.609
0700,2020-09-30,460.539
0700,2020-06-30,448.925
0700,2020-03-31,341.286
0700,2019-12-31,337.157
