,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2102,2112,2100,2675,3002,3581,4640,4540,3688,3494,4583,Upgrade
1,Market Cap Growth,-21.07%,-21.07%,-30.05%,-25.29%,-35.31%,-21.13%,25.81%,29.93%,-19.52%,-31.42%,2.81%,Upgrade
2,Enterprise Value,4394,4379,4281,4844,5164,5721,6672,6583,5702,5427,6531,Upgrade
3,Last Close Price,1.35,1.32,1.26,1.52,1.66,1.93,2.40,2.25,1.77,1.63,2.07,Upgrade
4,PE Ratio,-,-,-370.11,-,-,17.10,81.38,-,-,-,13.76,Upgrade
5,PS Ratio,4.73,4.86,4.80,6.18,6.92,8.15,10.43,10.12,8.14,7.58,9.91,Upgrade
6,PB Ratio,0.31,0.31,0.30,0.38,0.42,0.50,0.64,0.62,0.49,0.44,0.53,Upgrade
7,P/FCF Ratio,7.20,7.20,6.84,8.76,9.97,11.94,14.85,14.38,12.90,10.83,12.69,Upgrade
8,P/OCF Ratio,7.20,7.20,6.84,8.76,9.97,11.94,14.85,14.38,12.90,10.83,12.69,Upgrade
9,EV/Sales Ratio,10.10,10.07,9.79,11.19,11.90,13.03,14.99,14.68,12.59,11.78,14.13,Upgrade
10,EV/EBIT Ratio,15.81,15.75,15.28,17.52,18.42,20.00,22.72,22.11,19.22,18.11,21.64,Upgrade
11,EV/FCF Ratio,14.94,14.94,13.95,15.87,17.16,19.08,21.36,20.84,19.95,16.82,18.08,Upgrade
12,Debt / Equity Ratio,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.30,0.27,Upgrade
13,Debt / FCF Ratio,8.06,8.06,7.65,7.57,7.66,7.77,7.51,7.54,8.38,7.37,6.42,Upgrade
14,Earnings Yield,-3.60%,-3.58%,-0.27%,-1.58%,2.49%,5.85%,1.23%,-9.05%,-23.71%,-11.51%,7.27%,Upgrade
15,FCF Yield,13.88%,13.88%,14.62%,11.41%,10.03%,8.37%,6.73%,6.96%,7.75%,9.23%,7.88%,Upgrade
16,Dividend Yield,9.45%,9.87%,11.18%,9.83%,9.79%,9.01%,7.34%,7.97%,10.11%,11.00%,8.83%,Upgrade
17,Buyback Yield / Dilution,-0.65%,-0.62%,-0.68%,-1.13%,0.96%,1.97%,0.08%,-1.37%,-1.42%,-1.25%,-1.13%,Upgrade
18,Total Shareholder Return,8.80%,9.25%,10.49%,8.70%,10.75%,10.98%,7.42%,6.60%,8.69%,9.76%,7.69%,Upgrade
