,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,15.63,15.63,-,-
1,Short-Term Investments,141.98,141.98,-,-
2,Cash & Short-Term Investments,157.61,157.61,-,119.22
3,Accounts Receivable,315.16,315.16,-,-
4,Other Receivables,6.14,6.14,-,-
5,Receivables,321.3,321.3,-,-
6,Inventory,4.26,4.26,-,-
7,Other Current Assets,0.0,0.0,-,-
8,Total Current Assets,483.16,483.16,-,-
9,"Property, Plant & Equipment",10.05,10.05,-,-
10,Long-Term Investments,41.46,41.46,-,-
11,Other Intangible Assets,14.95,14.95,-,-
12,Long-Term Deferred Tax Assets,6.17,6.17,-,-
13,Other Long-Term Assets,7.7,7.7,-,-
14,Total Assets,563.49,563.49,-,-
15,Accounts Payable,29.62,29.62,-,-
16,Accrued Expenses,3.28,3.28,-,-
17,Current Portion of Long-Term Debt,160.1,160.1,-,-
18,Current Portion of Leases,1.03,1.03,-,-
19,Current Income Taxes Payable,3.69,3.69,-,-
20,Current Unearned Revenue,1.43,1.43,-,-
21,Other Current Liabilities,37.47,37.47,-,-
22,Total Current Liabilities,236.62,236.62,-,-
23,Long-Term Debt,20.03,20.03,-,-
24,Long-Term Unearned Revenue,2.81,2.81,-,-
25,Total Liabilities,259.45,259.45,-,-
26,Common Stock,4.59,4.59,-,-
27,Additional Paid-In Capital,114.79,114.79,-,-
28,Retained Earnings,222.33,222.33,-,-
29,Comprehensive Income & Other,-39.27,-39.27,-,-
30,Total Common Equity,302.44,302.44,-,177.47
31,Minority Interest,1.6,1.6,-,-
32,Shareholders' Equity,304.04,304.04,-,179.44
33,Total Liabilities & Equity,563.49,563.49,-,-
34,Total Debt,181.16,181.16,-,158.48
35,Net Cash (Debt),-23.55,-23.55,-,-39.26
36,Net Cash Per Share,-0.05,-0.05,-,-0.10
37,Filing Date Shares Outstanding,500.0,500.0,375,375
38,Total Common Shares Outstanding,500.0,500.0,375,375
39,Working Capital,246.55,246.55,-,-
40,Book Value Per Share,0.6,0.6,-,0.47
41,Tangible Book Value,287.49,287.49,-,166.72
42,Tangible Book Value Per Share,0.57,0.57,-,0.44
