,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,475,505,520,-,-
1,Enterprise Value,502,525,540,-,-
2,Last Close Price,0.95,1.01,1.04,-,-
3,PS Ratio,1.57,11.28,15.65,-,-
4,PB Ratio,1.46,1.55,1.58,-,-
5,P/TBV Ratio,1.63,1.63,1.67,-,-
6,EV/Sales Ratio,1.79,11.73,16.25,-,-
7,Debt / Equity Ratio,0.60,0.60,0.60,-,0.88
8,Asset Turnover,0.08,-,-,-,
9,Inventory Turnover,-,6.67,-,-,-
10,Quick Ratio,2.02,2.02,2.02,-,-
11,Current Ratio,2.04,2.04,2.04,-,-
12,Return on Equity (ROE),-9.89%,-,-,-,
13,Return on Assets (ROA),-2.83%,-,-,-,
14,Return on Capital (ROIC),-3.28%,-,-,-,
15,Earnings Yield,4.16%,-5.38%,-3.72%,-,-
16,FCF Yield,-27.99%,-12.34%,-10.20%,-,-
