,no,s,n,marketCap,price,change,revenue,url
47,48,hnx/TMB,Vinacomin - Northern Coal Trading JSC,1089000000000.0,72600.0,2.2535211267605635,41718811185328.0,quote/hnx/TMB
48,49,hnx/LHC,Lam Dong Investment and Hydraulic Construction Joint-Stock Company,1072800000000.0,74700.0,-0.1336898395721925,1229096725714.0,quote/hnx/LHC
49,50,hnx/EVS,Everest Securities JSC,1071204017000.0,6400.0,-1.5384615384615383,218489929220.0,quote/hnx/EVS
50,51,hnx/PMC,Pharmedic Pharmaceutical Medicinal JSC,1050847719800.0,112600.0,-1.054481546572935,498184992763.0,quote/hnx/PMC
51,52,hnx/INN,Agriculture Printing and Packaging JSC,1041448000000.0,58200.0,-1.3559322033898304,1766550070641.0,quote/hnx/INN
52,53,hnx/VC7,BGI Group JSC,1008950838000.0,10300.0,-1.9047619047619049,293915224690.0,quote/hnx/VC7
53,54,hnx/TVC,Tri Viet Asset Management Corporation JSC,954279231000.0,9500.0,0.0,246634528425.0,quote/hnx/TVC
54,55,hnx/CSC,Cotana Group JSC,953929041000.0,25500.0,0.0,590361400052.0,quote/hnx/CSC
55,56,hnx/L14,Licogi 14 JSC,947380970500.0,30800.0,0.0,136026574491.0,quote/hnx/L14
56,57,hnx/BCC,Vicem Bimson Cement JSC,936394571200.0,7900.0,0.0,3487978470438.0,quote/hnx/BCC
57,58,hnx/IDJ,IDJ Vietnam Investment JSC,919498022900.0,5500.0,0.0,714649590137.0,quote/hnx/IDJ
58,59,hnx/SGC,Sa Giang Import Export Corporation,894162258000.0,126800.0,-0.8600469116497262,707533084247.0,quote/hnx/SGC
59,60,hnx/PVC,Petrovietnam Chemical and Services Corporation,885019646700.0,11100.0,-0.8928571428571428,2963175877629.0,quote/hnx/PVC
60,61,hnx/SHN,Hanoi Investment General Corporation,803564311400.0,6200.0,0.0,3821515529003.0,quote/hnx/SHN
61,62,hnx/S99,SCI JSC,783161214900.0,8300.0,-1.1904761904761905,1395368266936.0,quote/hnx/S99
62,63,hnx/BKC,Bac Kan Mineral Joint Stock Corporation,764126092800.0,69000.0,7.476635514018691,567481233266.0,quote/hnx/BKC
