,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1562,1909,1458,1562,1979,1979,2326,3333,2430,3159,3471,Upgrade
1,Market Cap Growth,22.22%,22.22%,-26.32%,-21.05%,-14.93%,-40.63%,-4.29%,5.49%,-30.00%,8.12%,-42.03%,Upgrade
2,Enterprise Value,621,850,228,-32,-143,-143,153,1114,1120,918,752,Upgrade
3,Last Close Price,0.04,0.06,0.04,0.04,0.06,0.06,0.07,0.10,0.07,0.09,0.10,Upgrade
4,PE Ratio,-,-,-58.71,-,-,-,-,6.50,7.51,-7.94,-,Upgrade
5,PS Ratio,13.19,17.98,12.75,10.21,8.12,6.23,7.69,11.26,7.63,10.96,18.45,Upgrade
6,PB Ratio,0.36,0.48,0.37,0.39,0.48,0.46,0.47,0.64,0.46,0.63,0.67,Upgrade
7,P/TBV Ratio,0.48,0.48,0.37,0.39,0.48,0.46,0.47,0.61,0.44,0.60,0.64,Upgrade
8,P/FCF Ratio,-,-,-,-,4.18,-,4.65,13.89,-1.62,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,4.17,-,4.64,13.58,-1.63,-,-,Upgrade
10,EV/Sales Ratio,5.85,8.01,2.00,-,-,-,0.51,3.76,3.52,3.18,4.00,Upgrade
11,EV/EBITDA Ratio,-,-,44.42,-,-,-,1.07,2.93,2.73,-8.59,-,Upgrade
12,EV/EBIT Ratio,-,-,60.84,-,-,-,1.15,3.01,2.81,-7.80,-,Upgrade
13,EV/FCF Ratio,-5.57,-,-,-,-,-,0.31,4.64,-0.75,-,-,Upgrade
14,Debt / Equity Ratio,-,-,0.01,0.01,0.00,0.00,0.03,0.04,0.06,0.02,0.07,Upgrade
15,Debt / FCF Ratio,-,-,-,-,0.02,-,0.33,0.80,-0.22,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,0.09%,-,-,-,2.69%,7.07%,7.43%,-2.33%,-,Upgrade
17,Earnings Yield,-0.51%,-0.42%,-1.70%,-23.10%,-31.50%,-24.57%,3.06%,15.38%,13.31%,-12.59%,-16.39%,Upgrade
18,FCF Yield,-7.15%,-5.85%,-21.48%,19.60%,23.95%,9.54%,21.52%,7.20%,-61.71%,-73.43%,-10.64%,Upgrade
19,Buyback Yield / Dilution,-1.08%,-2.15%,-0.01%,-,0.01%,0.02%,-0.00%,1.09%,-6.87%,-15.28%,-6.68%,Upgrade
20,Total Shareholder Return,-1.08%,-2.15%,-0.01%,-,0.01%,0.02%,-0.00%,1.09%,-6.87%,-15.28%,-6.68%,Upgrade
