Stock Symbol,Date,Stock Price
600276,2024-09-30,52.3
600276,2024-06-30,38.27
600276,2024-03-31,45.74
600276,2023-12-31,45.01
600276,2023-09-30,44.72
600276,2023-06-30,47.66
600276,2023-03-31,42.46
600276,2022-12-31,38.21
600276,2022-09-30,34.8
600276,2022-06-30,36.63
600276,2022-03-31,36.37
600276,2021-12-31,50.09
600276,2021-09-30,49.61
600276,2021-06-30,67.14
600276,2021-03-31,75.62
600276,2020-12-31,91.52
600276,2020-09-30,73.76
600276,2020-06-30,75.79
600276,2020-03-31,62.82
600276,2019-12-31,59.75
