,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,910,1105,768,795,776,674,2027,1540,1657,937,1176,Upgrade
1,Market Cap Growth,39.02%,39.02%,-1.03%,17.89%,-61.73%,-56.20%,22.35%,64.35%,40.91%,-19.03%,45.82%,Upgrade
2,Enterprise Value,1300,1343,1178,1270,1358,1373,2509,2027,1520,688,764,Upgrade
3,Last Close Price,0.22,0.28,0.20,0.20,0.20,0.17,0.52,0.40,0.42,0.26,0.32,Upgrade
4,PE Ratio,-,-,-,-,3747.87,-,-126.32,-,-,-,-,Upgrade
5,PS Ratio,0.68,0.89,0.81,1.03,1.12,0.98,1.03,0.49,0.67,0.91,-,Upgrade
6,PB Ratio,0.75,0.96,0.62,0.63,0.64,0.50,1.50,1.56,1.68,1.03,1.23,Upgrade
7,P/TBV Ratio,1.16,1.16,0.64,0.75,0.66,0.60,1.53,2.04,1.72,1.35,1.26,Upgrade
8,P/FCF Ratio,9.35,11.35,5.59,5.48,2.69,2.21,14.57,-6.07,-,-,-,Upgrade
9,P/OCF Ratio,11.14,11.14,5.30,5.20,2.64,2.18,14.09,-6.37,-,-,-,Upgrade
10,EV/Sales Ratio,1.05,1.08,1.24,1.65,1.96,2.00,1.27,0.65,0.61,0.67,-,Upgrade
11,EV/EBITDA Ratio,38.22,58.15,26.99,20.46,25.03,51.16,69.73,29.91,28.00,44.25,-,Upgrade
12,EV/EBIT Ratio,-,-,-,65.52,139.66,-,-,-,-222.84,-,-,Upgrade
13,EV/FCF Ratio,13.36,13.79,8.57,8.76,4.71,4.49,18.04,-8.00,-,-,-,Upgrade
14,Debt / Equity Ratio,0.60,0.60,0.48,0.46,0.51,0.60,0.59,0.83,0.84,0.77,0.75,Upgrade
15,Debt / FCF Ratio,7.06,7.06,4.30,4.02,2.14,2.65,5.72,-3.24,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,1.13%,0.59%,-,-,-,-0.42%,-,-,Upgrade
17,Earnings Yield,-5.75%,-4.74%,-4.57%,1.22%,0.03%,0.64%,-0.79%,-2.48%,-2.42%,-3.83%,-,Upgrade
18,FCF Yield,10.69%,8.81%,17.90%,18.24%,37.21%,45.32%,6.86%,-16.46%,-20.91%,-5.27%,-,Upgrade
19,Buyback Yield / Dilution,-0.01%,-,-0.01%,0.03%,0.52%,0.49%,-2.31%,-6.10%,-,1.57%,-,Upgrade
20,Total Shareholder Return,-0.01%,-,-0.01%,0.03%,0.52%,0.49%,-2.31%,-6.10%,-,1.57%,-,Upgrade
