,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Jun '19 Jun 30, 2019",+2 Quarters
0,Market Capitalization,212,219,216,201,205,291,280,325,347,285,305,Upgrade
1,Market Cap Growth,9.09%,9.09%,5.56%,-30.98%,-26.83%,-10.53%,-19.34%,14.00%,14.06%,16.05%,24.13%,Upgrade
2,Enterprise Value,-30,141,118,98,108,181,170,232,285,246,1078,Upgrade
3,Last Close Price,0.09,0.10,0.17,0.16,0.16,0.23,0.22,0.25,0.27,0.22,2.19,Upgrade
4,PE Ratio,-,-1.56,-,-16.36,-,11.43,246.94,-,7.13,47.79,-,Upgrade
5,PS Ratio,3.18,4.65,4.99,3.77,2.67,3.54,4.71,3.31,3.14,8.22,-,Upgrade
6,PB Ratio,0.42,0.43,0.70,0.42,0.43,0.60,0.60,0.70,0.75,0.66,-0.32,Upgrade
7,P/TBV Ratio,0.65,0.65,1.51,1.48,1.58,2.37,2.88,3.75,4.22,7.30,-,Upgrade
8,P/FCF Ratio,-,-,8.37,22.25,-30.36,-,-,5.95,7.60,19.75,-,Upgrade
9,P/OCF Ratio,-,-,8.34,22.10,-31.16,-,-,5.95,7.60,19.72,-,Upgrade
10,EV/Sales Ratio,3.00,3.00,2.73,1.85,1.41,2.21,2.85,2.36,2.58,7.09,-,Upgrade
11,EV/EBITDA Ratio,10.83,10.83,13.33,6.39,2.76,4.00,6.24,3.58,3.61,9.33,-,Upgrade
12,EV/EBIT Ratio,14.89,14.89,22.19,8.38,3.15,5.06,12.29,4.80,4.61,25.23,-,Upgrade
13,EV/FCF Ratio,18.59,-,4.57,10.91,-16.06,-,-,4.25,6.24,17.04,-,Upgrade
14,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,-0.82,Upgrade
15,Debt / FCF Ratio,-,-,0.14,0.58,-0.10,-,-,0.11,0.01,0.08,-,Upgrade
16,Return on Capital Employed (ROCE),1.84%,1.84%,1.67%,2.41%,7.15%,7.18%,2.89%,10.13%,12.92%,2.18%,-,Upgrade
17,Earnings Yield,-66.15%,-64.08%,-74.74%,-6.11%,2.62%,8.75%,0.40%,9.43%,14.02%,2.09%,-4.57%,Upgrade
18,FCF Yield,-0.76%,-0.74%,11.95%,4.50%,-3.29%,-8.30%,8.10%,16.82%,13.15%,5.06%,-4.32%,Upgrade
19,Buyback Yield / Dilution,-41.00%,-82.00%,-,-,-,-,-,-,-1037.32%,-1037.32%,-0.00%,Upgrade
20,Total Shareholder Return,-41.00%,-82.00%,-,-,-,-,-,-,-1037.32%,-1037.32%,-0.00%,Upgrade
