,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Feb '25 Feb 20, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Last Close Price,5100.00,4800.00,4500.00
1,Debt / Equity Ratio,9.75,9.75,3.23
2,Debt / EBITDA Ratio,-,11.38,6.64
3,Quick Ratio,0.02,0.02,0.04
4,Current Ratio,0.58,0.58,0.83
5,Return on Capital Employed (ROCE),-,-,0.65%
