Stock Symbol,Date,Stock Price
002399,2024-09-30,11.4
002399,2024-06-30,8.67
002399,2024-03-31,8.35
002399,2023-12-31,11.73
002399,2023-09-30,12.3
002399,2023-06-30,11.37
002399,2023-03-31,13.66
002399,2022-12-31,12.74
002399,2022-09-30,14.91
002399,2022-06-30,17.39
002399,2022-03-31,14.55
002399,2021-12-31,16.91
002399,2021-09-30,15.33
002399,2021-06-30,15.61
002399,2021-03-31,16.76
002399,2020-12-31,16.87
002399,2020-09-30,22.32
002399,2020-06-30,24.34
002399,2020-03-31,19.93
002399,2019-12-31,18.98
