,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2323,1228,1180,1297,1846,1647,1245,1245,1839,2235,2716
1,Market Cap Growth,-5.36%,-5.36%,-36.07%,-21.25%,48.24%,32.31%,-32.29%,-44.28%,-32.30%,-12.01%,-15.24%
2,Enterprise Value,2484,1543,1616,2328,2969,2994,2550,2841,3086,3455,3548
3,Last Close Price,1.17,0.60,0.55,0.60,0.59,0.49,0.37,0.36,0.52,0.54,0.64
4,PE Ratio,9.05,4.85,4.42,8.42,-,7.13,7.01,15.03,-,21.80,-
5,Forward PE,-,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.22,7.92,8.71
6,PS Ratio,1.46,0.79,0.80,1.81,-,1.15,0.78,1.66,-,3.21,-
7,PB Ratio,0.96,0.50,0.49,0.56,0.57,0.55,0.42,0.43,0.64,0.80,1.04
8,P/TBV Ratio,0.61,0.61,0.59,0.71,1.25,1.32,1.00,1.12,1.68,1.68,2.13
9,P/FCF Ratio,6.53,4.43,-,4.69,-,4.36,3.63,4.56,-,11.62,-
10,P/OCF Ratio,2.53,4.43,-,4.69,-,4.08,3.06,4.00,-,9.69,-
11,PEG Ratio,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.71,0.71
12,EV/Sales Ratio,1.59,0.99,1.10,3.26,-,2.10,1.60,3.79,-,4.97,-
13,EV/EBITDA Ratio,4.88,3.07,3.60,11.63,-,7.41,6.51,15.65,-,17.02,-
14,EV/EBIT Ratio,6.76,4.20,5.19,15.87,-,10.67,10.26,26.57,-,24.80,-
15,EV/FCF Ratio,6.98,5.56,-,8.42,-,7.92,7.43,10.40,-,17.97,-
16,Debt / Equity Ratio,0.28,0.28,0.31,0.57,0.49,0.52,0.48,0.49,0.58,0.59,0.63
17,Debt / FCF Ratio,1.97,2.52,-,4.79,-,4.12,4.11,5.17,-,8.55,-
18,Return on Capital Employed (ROCE),11.88%,11.88%,10.00%,5.09%,-,6.01%,6.32%,2.77%,-,3.99%,-
19,Earnings Yield,10.90%,20.62%,22.62%,11.87%,-,14.02%,14.27%,6.65%,-,4.59%,-
20,FCF Yield,15.32%,22.59%,-,21.30%,-,22.93%,27.55%,21.94%,-,8.60%,-
21,Dividend Yield,5.98%,10.78%,10.08%,4.14%,-,11.10%,10.40%,3.38%,-,1.49%,-
22,Buyback Yield / Dilution,-2.53%,-3.76%,-,0.34%,-,-0.15%,-,0.05%,-,4.76%,-
23,Total Shareholder Return,3.45%,7.02%,10.08%,4.48%,-,10.95%,10.40%,3.43%,-,6.25%,-
