Stock Symbol,Date,Stock Price
000999,2024-09-30,46.58
000999,2024-06-30,41.66
000999,2024-03-31,37.8
000999,2023-12-31,36.23
000999,2023-09-30,36.51
000999,2023-06-30,44.19
000999,2023-03-31,41.18
000999,2022-12-31,33.55
000999,2022-09-30,27.53
000999,2022-06-30,31.55
000999,2022-03-31,31.8
000999,2021-12-31,24.0
000999,2021-09-30,19.83
000999,2021-06-30,18.39
000999,2021-03-31,16.82
000999,2020-12-31,17.15
000999,2020-09-30,17.48
000999,2020-06-30,19.8
000999,2020-03-31,18.89
000999,2019-12-31,21.48
