,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,174,200,233,288,336,308,273,128,87,82,158,Upgrade
1,Market Cap Growth,-30.53%,-30.53%,-30.70%,-6.51%,23.02%,140.68%,215.00%,55.26%,-45.21%,-51.28%,-38.66%,Upgrade
2,Enterprise Value,331,80,617,430,528,483,600,328,413,244,269,Upgrade
3,Last Close Price,0.79,0.91,1.06,1.31,1.55,1.42,1.26,0.59,0.40,0.38,0.73,Upgrade
4,PE Ratio,4.78,5.51,6.40,5.63,5.61,4.46,5.31,3.22,2.80,2.52,4.26,Upgrade
5,PS Ratio,0.07,0.09,0.12,0.15,0.15,0.14,0.14,0.08,0.06,0.04,0.07,Upgrade
6,PB Ratio,0.19,0.22,0.27,0.35,0.41,0.37,0.33,0.16,0.12,0.12,0.23,Upgrade
7,P/TBV Ratio,0.22,0.22,0.27,0.35,0.41,0.37,0.33,0.16,0.12,0.12,0.23,Upgrade
8,P/FCF Ratio,-,-1.33,-,-,1.25,0.66,1.19,-,0.39,-,-,Upgrade
9,P/OCF Ratio,-,-2.97,-,-,1.05,0.64,1.07,-,0.28,-,-,Upgrade
10,EV/Sales Ratio,0.14,0.03,0.31,0.22,0.24,0.23,0.31,0.20,0.30,0.13,0.12,Upgrade
11,EV/EBITDA Ratio,4.29,1.14,8.65,4.70,5.74,3.97,4.51,3.18,5.24,2.77,2.83,Upgrade
12,EV/EBIT Ratio,17.67,4.27,28.17,11.17,13.64,6.77,7.08,5.95,12.34,5.52,5.19,Upgrade
13,EV/FCF Ratio,-2.20,-0.53,-,-,1.96,1.03,2.61,-,1.84,-,-,Upgrade
14,Debt / Equity Ratio,0.48,0.48,0.32,0.69,0.55,0.43,0.42,0.55,0.50,0.51,0.45,Upgrade
15,Debt / FCF Ratio,-,-2.86,-,-,1.70,0.77,1.49,-,1.66,-,-,Upgrade
16,Return on Capital Employed (ROCE),1.96%,1.96%,2.51%,4.51%,4.55%,8.30%,9.96%,6.76%,4.24%,6.34%,7.35%,Upgrade
17,Earnings Yield,20.89%,18.13%,15.64%,17.75%,17.83%,22.40%,18.84%,31.10%,35.69%,39.71%,23.47%,Upgrade
18,FCF Yield,-86.70%,-75.27%,-104.07%,9.61%,80.08%,152.12%,84.21%,193.97%,259.18%,-300.54%,-42.65%,Upgrade
19,Buyback Yield / Dilution,-0.64%,-,-1.29%,-1.34%,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-0.64%,-,-1.29%,-1.34%,-,-,-,-,-,-,-,Upgrade
