,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Jan '20 Jan 1, 2020",+2 Quarters
0,Market Capitalization,3947,1572,723,800,1158,1361,1279,2075,1824,1664,1379,Upgrade
1,Market Cap Growth,96.56%,96.56%,-37.54%,-41.27%,-9.46%,-34.38%,-29.86%,24.68%,32.29%,-33.62%,-46.50%,Upgrade
2,Enterprise Value,3747,1321,424,718,1298,1342,1195,1938,1881,1680,1326,Upgrade
3,Last Close Price,9.51,3.62,1.51,1.39,2.01,2.36,2.22,3.60,3.16,2.89,2.39,Upgrade
4,PE Ratio,14.55,5.71,3.89,2.10,3.12,13.38,11.28,-36.14,-,-,-,Upgrade
5,PS Ratio,1.99,0.78,0.41,0.55,0.87,0.93,0.78,1.31,1.44,1.67,1.31,Upgrade
6,PB Ratio,3.28,1.30,0.61,0.65,0.96,1.47,1.40,2.47,2.35,2.03,1.59,Upgrade
7,P/TBV Ratio,1.52,1.52,0.71,0.73,1.10,1.67,1.62,2.95,2.70,2.47,2.04,Upgrade
8,P/FCF Ratio,-,20.59,-,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,20.59,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,1.86,0.66,0.24,0.49,0.98,0.91,0.72,1.22,1.48,1.69,1.26,Upgrade
11,EV/EBITDA Ratio,11.86,4.20,1.76,4.68,9.58,8.70,5.68,17.04,-,-38.81,-,Upgrade
12,EV/EBIT Ratio,12.00,4.27,2.04,6.78,16.31,12.83,8.75,225.36,-,-,-,Upgrade
13,EV/FCF Ratio,-,17.30,-,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.32,0.32,0.36,0.32,0.44,0.70,0.54,0.39,0.43,0.57,0.64,Upgrade
15,Debt / FCF Ratio,-,5.04,-,-,-,-,-,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),25.53%,25.27%,14.90%,7.28%,5.45%,7.44%,14.76%,1.00%,-,-,-,Upgrade
17,Earnings Yield,6.98%,17.52%,25.72%,47.55%,32.01%,7.47%,8.86%,-2.77%,-7.84%,-13.30%,-11.12%,Upgrade
18,FCF Yield,4.86%,-,-,-,-,-,-,-,-,-,Upgrade,
19,Dividend Yield,4.60%,13.06%,42.32%,26.49%,-,-,-,-,-,-,-,Upgrade
20,Buyback Yield / Dilution,2.51%,3.80%,1.22%,-,-0.03%,-,0.05%,-,1.76%,-,1.82%,Upgrade
21,Total Shareholder Return,7.10%,16.86%,43.54%,26.49%,-0.03%,-,0.05%,-,1.76%,-,1.82%,Upgrade
