Stock Symbol,Date,Stock Price
600265,2024-09-30,15.44
600265,2024-06-30,13.63
600265,2024-03-31,16.66
600265,2023-12-31,18.14
600265,2023-09-30,17.02
600265,2023-06-30,16.36
600265,2023-03-31,15.96
600265,2022-12-31,15.2
600265,2022-09-30,14.46
600265,2022-06-30,13.3
600265,2022-03-31,16.54
600265,2021-12-31,21.37
600265,2021-09-30,20.79
600265,2021-06-30,16.77
600265,2021-03-31,15.28
600265,2020-12-31,19.11
600265,2020-09-30,19.36
600265,2020-06-30,20.8
600265,2020-03-31,21.54
600265,2019-12-31,24.17
