,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,7790,6249,5222,5521,5864,8132,9373,10743,10272,10058,10015,Upgrade
1,Market Cap Growth,13.18%,13.18%,-10.95%,-32.11%,-37.44%,-24.30%,-8.75%,6.81%,2.56%,12.98%,15.27%,Upgrade
2,Enterprise Value,1879,716,85,2131,1172,3929,3941,6150,5347,5763,5881,Upgrade
3,Last Close Price,1.82,1.46,1.16,1.22,1.20,1.66,1.73,1.98,1.71,1.67,1.50,Upgrade
4,PE Ratio,9.10,7.30,7.34,9.13,12.95,14.50,5.99,4.56,4.41,5.40,5.45,Upgrade
5,Forward PE,8.58,6.94,6.38,6.73,7.36,5.93,5.07,5.31,6.11,6.96,6.75,Upgrade
6,PS Ratio,0.71,0.57,0.45,0.47,0.47,0.60,0.56,0.61,0.67,0.80,0.76,Upgrade
7,PB Ratio,0.72,0.57,0.47,0.53,0.53,0.73,0.75,0.91,0.86,1.01,0.99,Upgrade
8,P/TBV Ratio,0.57,0.57,0.47,0.53,0.53,0.73,0.75,0.91,0.86,1.01,0.99,Upgrade
9,P/FCF Ratio,5.62,4.51,2.64,2.55,3.21,41.42,-,11.55,11.08,10.41,6.52,Upgrade
10,P/OCF Ratio,4.21,4.21,2.39,2.32,2.79,12.75,-,8.04,8.08,8.13,5.70,Upgrade
11,EV/Sales Ratio,0.17,0.07,0.01,0.18,0.09,0.29,0.23,0.35,0.35,0.46,0.45,Upgrade
12,EV/EBITDA Ratio,1.60,0.61,0.08,2.24,1.25,4.70,2.73,2.89,2.42,3.15,3.05,Upgrade
13,EV/EBIT Ratio,2.13,0.81,0.11,3.22,1.86,7.33,3.61,3.60,2.96,3.89,3.81,Upgrade
14,EV/FCF Ratio,1.36,0.52,0.04,0.98,0.64,20.01,-,6.61,5.77,5.97,3.83,Upgrade
15,Debt / Equity Ratio,-,-,0.07,0.08,0.07,0.07,0.06,0.07,0.07,0.08,0.08,Upgrade
16,Debt / FCF Ratio,-,-,0.40,0.37,0.44,4.07,-,0.85,0.85,0.82,0.52,Upgrade
17,Return on Capital Employed (ROCE),8.07%,8.07%,6.81%,6.32%,5.29%,4.46%,8.14%,13.39%,14.96%,14.76%,13.98%,Upgrade
18,Earnings Yield,10.99%,13.69%,13.62%,10.96%,7.72%,6.90%,16.70%,21.94%,22.65%,18.53%,18.36%,Upgrade
19,FCF Yield,17.78%,22.17%,37.92%,39.28%,31.18%,2.41%,0.49%,8.66%,9.03%,9.60%,15.34%,Upgrade
