Stock Symbol,Date,Stock Price
688169,2024-09-30,277.92
688169,2024-06-30,274.03
688169,2024-03-31,239.11
688169,2023-12-31,197.49
688169,2023-09-30,205.53
688169,2023-06-30,158.61
688169,2023-03-31,180.54
688169,2022-12-31,122.54
688169,2022-09-30,127.7
688169,2022-06-30,216.66
688169,2022-03-31,194.69
688169,2021-12-31,285.63
688169,2021-09-30,248.36
688169,2021-06-30,442.18
688169,2021-03-31,409.21
688169,2020-12-31,363.28
688169,2020-09-30,210.18
688169,2020-06-30,131.58
688169,2020-03-31,120.62
688169,2019-12-31,
