,Fiscal Quarter,Current,H1 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019"
0,Market Capitalization,10510,6305,2394,3561,2977,2218,837,782,589,478,865
1,Market Cap Growth,-3.62%,77.05%,-19.61%,60.53%,255.54%,183.61%,42.22%,63.50%,-31.91%,-67.50%,27.03%
2,Enterprise Value,11881,8921,5468,4174,3863,3194,1732,1729,385,351,686
3,Last Close Price,5.39,3.23,1.22,1.80,1.50,1.11,0.44,0.39,0.28,0.22,0.39
4,PE Ratio,28.39,17.83,8.68,16.55,17.76,13.19,4.47,3.46,3.19,3.10,6.44
5,PS Ratio,1.63,1.19,0.47,0.62,0.58,0.62,0.25,0.26,0.22,0.17,0.43
6,PB Ratio,7.71,4.04,1.95,3.11,3.06,2.09,0.89,0.90,0.81,0.41,1.52
7,P/TBV Ratio,1.90,4.07,1.97,3.14,3.10,2.11,0.90,0.92,0.82,0.41,1.52
8,P/FCF Ratio,8.39,10.89,-,-,-,14.64,5.49,8.00,2.33,0.91,2.71
9,P/OCF Ratio,1.90,8.86,-,-,-,10.52,3.78,5.41,2.03,0.83,2.43
10,EV/Sales Ratio,1.85,1.69,1.07,0.72,0.75,0.89,0.52,0.57,0.14,0.13,0.34
11,EV/EBITDA Ratio,18.36,14.95,11.30,11.03,12.28,9.91,5.00,4.61,1.12,1.12,3.00
12,EV/EBIT Ratio,21.65,16.92,13.21,13.48,15.09,11.99,6.08,5.44,1.33,1.36,3.61
13,EV/FCF Ratio,9.48,15.41,-,-,-,21.08,11.35,17.68,1.52,0.67,2.15
14,Debt / Equity Ratio,2.17,1.55,2.82,2.96,1.66,1.05,1.26,1.22,1.50,1.05,0.19
15,Debt / FCF Ratio,2.38,4.18,-,-,-,7.40,7.76,10.80,4.31,2.33,0.33
16,Return on Capital Employed (ROCE),26.29%,23.55%,21.35%,16.87%,19.29%,18.00%,19.62%,22.72%,21.88%,21.15%,31.40%
17,Earnings Yield,3.52%,5.61%,11.52%,6.04%,5.63%,7.58%,22.35%,28.94%,31.38%,32.21%,15.53%
18,FCF Yield,11.92%,9.18%,-69.23%,-46.66%,-2.57%,6.83%,18.21%,12.51%,42.95%,109.93%,36.90%
19,Dividend Yield,0.42%,0.54%,1.03%,0.55%,1.00%,1.80%,5.73%,7.62%,10.54%,11.29%,7.67%
20,Buyback Yield / Dilution,-0.86%,-,0.17%,-3.88%,-4.78%,-1.80%,-1.10%,0.56%,1.31%,-0.45%,-1.32%
21,Total Shareholder Return,-0.44%,0.54%,1.20%,-3.33%,-3.78%,-0.00%,4.62%,8.18%,11.84%,10.85%,6.34%
