,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019",+2 Quarters
0,Market Capitalization,383,835,714,1114,1096,770,1039,577,443,1315,1572,Upgrade
1,Market Cap Growth,-25.04%,-25.04%,-34.82%,44.66%,5.40%,33.33%,134.78%,-56.10%,-71.84%,-24.07%,-24.62%,Upgrade
2,Enterprise Value,3712,3381,2913,3743,8724,8169,15194,16412,15425,16270,14043,Upgrade
3,Last Close Price,0.14,0.30,0.28,0.49,0.48,0.48,0.65,0.36,0.28,0.82,0.91,Upgrade
4,PE Ratio,-,-,-,1.00,0.99,-0.84,-,-,-,-,2.16,Upgrade
5,PS Ratio,0.23,0.82,0.71,0.50,0.19,0.08,0.08,0.05,0.02,0.05,0.05,Upgrade
6,PB Ratio,0.50,0.50,0.26,0.33,0.38,0.24,-0.51,-0.69,0.68,1.07,0.42,Upgrade
7,P/TBV Ratio,-,-,0.67,0.62,0.66,12.93,-,-,-,8.76,0.51,Upgrade
8,P/FCF Ratio,-,-,-,41.67,-8.30,-,-,0.84,-,14.55,-,Upgrade
9,P/OCF Ratio,-,-,-,28.01,-8.88,-,-,0.83,-,11.68,-,Upgrade
10,EV/Sales Ratio,2.35,3.34,2.89,1.67,1.48,0.86,1.12,1.52,0.77,0.60,0.46,Upgrade
11,EV/EBITDA Ratio,-,-,-2.96,-,-,204.20,-,-,-,-,4.53,Upgrade
12,EV/EBIT Ratio,-,-,-2.94,-,-,239.48,-,-,-,-,4.56,Upgrade
13,EV/FCF Ratio,-12.17,-,-,140.03,-66.10,-,-,23.76,-,179.96,-,Upgrade
14,Debt / Equity Ratio,1.23,1.23,0.70,0.40,0.92,1.63,-8.60,-20.53,24.54,13.52,5.34,Upgrade
15,Debt / FCF Ratio,-,-,-,50.96,-20.29,-,-,24.99,-,184.63,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-23.74%,-,-,0.63%,-,-,-,-,44.26%,Upgrade
17,Earnings Yield,-637.89%,-292.80%,-119.24%,99.85%,100.84%,-119.66%,-287.94%,-416.54%,-745.70%,-205.98%,46.27%,Upgrade
18,FCF Yield,-79.56%,-36.52%,-20.96%,2.40%,-12.05%,-45.37%,49.16%,119.64%,24.28%,6.87%,281.00%,Upgrade
19,Buyback Yield / Dilution,-23.54%,-18.50%,-29.53%,-42.29%,-19.80%,0.00%,-,-0.00%,-,-,-,Upgrade
20,Total Shareholder Return,-23.54%,-18.50%,-29.53%,-42.29%,-19.80%,0.00%,-,-0.00%,-,-,-,Upgrade
