,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,773,887,1160,1955,2342,1506,1506,1506,1571,1467,2688,Upgrade
1,Market Cap Growth,-54.65%,-54.65%,-50.49%,29.80%,55.46%,0%,-4.13%,2.65%,-41.55%,-52.32%,-8.00%,Upgrade
2,Enterprise Value,3252,3433,3669,4396,5213,4954,4836,4124,4189,3742,4653,Upgrade
3,Last Close Price,0.03,0.04,0.05,0.09,0.10,0.12,0.12,0.12,0.12,0.11,0.21,Upgrade
4,PE Ratio,6.76,7.76,12.70,63.18,-,-5.10,-,-0.40,-,-18.05,-,Upgrade
5,Forward PE,-,7.43,7.43,7.43,7.43,7.43,7.43,7.43,7.43,6.17,4.40,Upgrade
6,PS Ratio,0.42,0.48,0.54,1.06,1.49,1.04,0.87,1.03,1.07,0.73,1.00,Upgrade
7,PB Ratio,0.53,0.54,0.71,1.25,1.44,2.40,2.15,1.99,1.94,0.33,0.59,Upgrade
8,P/TBV Ratio,2.82,2.82,4.39,17.74,13.77,-,-,45.96,22.54,0.84,1.50,Upgrade
9,P/FCF Ratio,129.70,148.78,-,15.43,501.68,-,-,-,-,-,-,Upgrade
10,P/OCF Ratio,14.19,14.19,9.18,13.14,87.58,-,-,-,-,-,-,Upgrade
11,EV/Sales Ratio,1.78,1.88,1.71,2.39,3.32,3.44,2.80,2.83,2.86,1.87,1.74,Upgrade
12,EV/EBITDA Ratio,10.19,-,-,-44.48,-,-,-,-,-,-67.85,-,Upgrade
13,EV/EBIT Ratio,15.80,-,-,-,-,-,-,-,-,-21.61,-,Upgrade
14,EV/FCF Ratio,545.58,575.96,-,34.70,1116.76,-,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,1.69,1.69,1.68,1.65,1.67,4.98,5.14,4.98,4.36,0.74,0.66,Upgrade
16,Debt / FCF Ratio,468.61,468.61,-,20.40,583.14,-,-,-,-,-,-,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-3.11%,-,Upgrade
18,Earnings Yield,14.79%,12.89%,7.87%,1.58%,0.80%,-19.62%,-18.28%,-248.29%,-236.51%,-5.54%,-0.40%,Upgrade
19,FCF Yield,0.77%,0.67%,6.02%,6.48%,0.20%,-9.77%,-9.76%,-13.45%,-15.21%,-26.66%,-7.99%,Upgrade
20,Buyback Yield / Dilution,-26.91%,-,-73.65%,-75.08%,-0.82%,-,-,-,-,-,1.02%,Upgrade
21,Total Shareholder Return,-26.91%,-,-73.65%,-75.08%,-0.82%,-,-,-,-,-,1.02%,Upgrade
