,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,70,91,175,195,191,224,209,386,202,231,220,Upgrade
1,Market Cap Growth,-53.21%,-53.21%,-8.65%,-13.11%,-8.77%,-41.90%,3.64%,66.67%,-8.33%,-35.71%,-53.85%,Upgrade
2,Enterprise Value,29,51,163,129,165,157,117,242,272,210,475,Upgrade
3,Last Close Price,0.19,0.25,0.47,0.53,0.52,0.58,0.44,0.51,0.16,0.15,0.09,Upgrade
4,PE Ratio,-,-,-,4.47,4.16,1.96,1.47,2.25,2.03,-,-,Upgrade
5,PS Ratio,0.37,0.48,0.90,0.96,0.97,1.05,0.84,1.21,0.54,0.36,0.25,Upgrade
6,PB Ratio,0.43,0.56,1.06,1.17,1.18,1.68,1.11,1.46,0.45,0.61,0.41,Upgrade
7,P/TBV Ratio,0.56,0.56,1.06,1.17,1.18,1.68,1.11,1.46,0.45,0.61,0.41,Upgrade
8,P/FCF Ratio,1.13,1.48,5.30,3.97,2.79,4.07,3.67,2.99,1.38,0.94,0.82,Upgrade
9,P/OCF Ratio,1.22,1.22,3.90,3.49,2.67,3.82,3.52,2.93,1.34,0.89,0.75,Upgrade
10,EV/Sales Ratio,0.15,0.27,0.84,0.64,0.84,0.74,0.47,0.76,0.73,0.32,0.54,Upgrade
11,EV/EBITDA Ratio,0.56,4.10,10.64,3.52,5.50,-,-,-,-,-,-15.66,Upgrade
12,EV/EBIT Ratio,3.85,-,14.23,3.86,6.26,-,-,-,-,-,-6.83,Upgrade
13,EV/FCF Ratio,0.47,0.83,4.95,2.64,2.40,2.84,2.04,1.87,1.86,0.85,1.76,Upgrade
14,Debt / Equity Ratio,0.32,0.32,0.33,0.36,0.19,0.18,0.24,0.24,0.28,0.69,0.58,Upgrade
15,Debt / FCF Ratio,0.85,0.85,1.67,1.21,0.45,0.44,0.80,0.48,0.86,1.05,1.16,Upgrade
16,Return on Capital Employed (ROCE),3.86%,-,6.18%,17.36%,15.12%,-,-,-,-,-,-10.18%,Upgrade
17,Earnings Yield,-6.81%,-5.22%,0.70%,22.39%,24.06%,51.05%,68.10%,44.43%,49.36%,-49.68%,-78.30%,Upgrade
18,FCF Yield,88.13%,67.52%,18.88%,25.17%,35.83%,24.59%,27.26%,33.48%,72.70%,106.48%,122.12%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,33.68%,43.46%,16.60%,54.29%,17.17%,-,Upgrade
20,Total Shareholder Return,-,-,-,-,33.68%,43.46%,16.60%,54.29%,17.17%,-,Upgrade,
